drug_name,pri_score,degree_component,weighted_component,betweenness_component,severity_component
thioridazine,0.258793,0.01594,0.030462,2.8e-05,0.212364
paroxetine,0.258754,0.013332,0.026276,0.000124,0.219022
asenapine,0.258703,0.015129,0.029184,2.3e-05,0.214368
alendronic acid,0.258667,0.002666,0.005998,2e-06,0.25
risedronic acid,0.258667,0.002666,0.005998,2e-06,0.25
emedastine,0.258666,0.003768,0.008359,1e-06,0.246538
chlorpromazine,0.258642,0.018838,0.034752,5.2e-05,0.205
methylphenobarbital,0.258561,0.012057,0.024111,0.000158,0.222236
ciprofloxacin,0.258541,0.015476,0.029692,0.00017,0.213202
bezitramide,0.258494,0.00342,0.007615,1e-06,0.247458
acetylcholine,0.258476,0.002608,0.005868,0.0,0.25
diphenoxylate,0.258427,0.004463,0.009806,2e-06,0.244156
taranabant,0.258288,0.00255,0.005738,0.0,0.25
fluorouracil,0.258233,0.012288,0.024476,0.000124,0.221344
carbinoxamine,0.25823,0.005217,0.011345,2e-06,0.241667
dimenhydrinate,0.25823,0.005217,0.011345,2e-06,0.241667
ethoxzolamide,0.258106,0.004811,0.01051,1.3e-05,0.242771
bucindolol,0.258087,0.011999,0.023981,6e-06,0.222101
obeticholic acid,0.258019,0.00655,0.013992,8.8e-05,0.237389
clozapine,0.257947,0.019186,0.035143,6.8e-05,0.20355
sirolimus,0.257907,0.012578,0.024933,0.00012,0.220276
peginterferon alfa-2a,0.257875,0.007651,0.015844,0.004267,0.230114
amobarbital,0.257796,0.010492,0.021334,4e-06,0.225967
benzhydrocodone,0.257792,0.003246,0.007224,1e-06,0.247321
mifepristone,0.257606,0.014549,0.028114,0.000202,0.214741
regadenoson,0.257535,0.002319,0.005216,0.0,0.25
telavancin,0.257499,0.010839,0.02192,7e-06,0.224733
choline salicylate,0.257416,0.012288,0.024398,9.3e-05,0.220637
coumarin,0.257268,0.009158,0.018882,0.000113,0.229114
cepeginterferon alfa-2b,0.257212,0.006608,0.013888,0.003164,0.233553
magnesium aspartate,0.257158,0.002203,0.004955,0.0,0.25
magnesium gluconate,0.257158,0.002203,0.004955,0.0,0.25
magnesium orotate,0.257158,0.002203,0.004955,0.0,0.25
bupivacaine,0.257114,0.011825,0.023589,9e-06,0.221691
indacaterol,0.257069,0.015071,0.028897,2.4e-05,0.213077
interferon alfa-2a,0.257047,0.006898,0.014618,2.7e-05,0.235504
interferon alfa-2b,0.257047,0.006898,0.014618,2.7e-05,0.235504
macimorelin,0.256975,0.004579,0.009989,2e-06,0.242405
azimilide,0.256952,0.00713,0.015061,5e-06,0.234756
opicapone,0.256917,0.010086,0.020538,0.0,0.226293
sulfisoxazole,0.25688,0.010318,0.020942,5.8e-05,0.225562
hexobarbital,0.256794,0.011477,0.022964,5e-06,0.222348
palopegteriparatide,0.256781,0.002087,0.004694,0.0,0.25
bethanechol,0.256781,0.002087,0.004694,0.0,0.25
levacetylmethadol,0.256731,0.009622,0.019691,8e-06,0.22741
cyclopentamine,0.256593,0.002029,0.004564,0.0,0.25
mazindol,0.256546,0.00255,0.005699,1e-06,0.248295
olodaterol,0.256506,0.015592,0.02964,2.8e-05,0.211245
sevoflurane,0.256476,0.015476,0.029458,2.6e-05,0.211517
parathyroid hormone,0.256405,0.001971,0.004434,1e-06,0.25
carbamoylcholine,0.256404,0.001971,0.004434,0.0,0.25
pilocarpine,0.256404,0.001971,0.004434,0.0,0.25
arecoline,0.256404,0.001971,0.004434,0.0,0.25
lobeline,0.256404,0.001971,0.004434,0.0,0.25
ngx267,0.256404,0.001971,0.004434,0.0,0.25
epibatidine,0.256404,0.001971,0.004434,0.0,0.25
nitrous acid,0.256397,0.009738,0.019873,0.0,0.226786
ezogabine,0.256366,0.010318,0.020903,4e-06,0.22514
raltegravir,0.256342,0.002492,0.005568,2.5e-05,0.248256
norfloxacin,0.256264,0.008695,0.017956,0.000113,0.2295
ziftomenib,0.256241,0.004,0.008763,0.0,0.243478
givinostat,0.256241,0.004,0.008763,0.0,0.243478
nafamostat,0.25623,0.006492,0.013783,1.7e-05,0.235937
sildenafil,0.256227,0.017389,0.032274,0.000313,0.20625
hyaluronidase (ovine),0.256217,0.001913,0.004303,1e-06,0.25
hyaluronidase (human recombinant),0.256217,0.001913,0.004303,1e-06,0.25
hyaluronidase,0.256217,0.001913,0.004303,1e-06,0.25
berahyaluronidase alfa,0.256217,0.001913,0.004303,1e-06,0.25
nafarelin,0.256216,0.001913,0.004303,0.0,0.25
emetine,0.256216,0.001913,0.004303,0.0,0.25
magnesium levulinate,0.256216,0.001913,0.004303,0.0,0.25
magnesium lactate,0.256216,0.001913,0.004303,0.0,0.25
chloroquine,0.256147,0.014085,0.027228,2e-05,0.214815
benzthiazide,0.256136,0.015882,0.030018,0.000199,0.210036
azacitidine,0.256135,0.010665,0.02149,6.7e-05,0.223913
bufuralol,0.256044,0.011709,0.02329,6e-06,0.22104
lanoteplase,0.256028,0.001855,0.004173,0.0,0.25
ursodeoxycholic acid,0.255968,0.006434,0.013653,7e-05,0.235811
hypericin,0.255855,0.002377,0.005307,1e-06,0.248171
oxycodone,0.255721,0.008521,0.017604,5e-06,0.229592
thyrotropin alfa,0.255651,0.004695,0.010171,4.4e-05,0.240741
paspalum notatum pollen,0.255651,0.001739,0.003912,0.0,0.25
cynodon dactylon pollen,0.255651,0.001739,0.003912,0.0,0.25
vibegron,0.255621,0.003072,0.006794,0.0,0.245755
naltrexone,0.255597,0.003362,0.007407,1e-06,0.244828
doxepin,0.255592,0.017969,0.03307,3.7e-05,0.204516
buclizine,0.255582,0.006376,0.013523,2e-06,0.235682
vildagliptin,0.255542,0.008289,0.017161,2.3e-05,0.23007
amg-222,0.255542,0.008289,0.017161,2.3e-05,0.23007
bisegliptin,0.255542,0.008289,0.017161,2.3e-05,0.23007
gosogliptin,0.255542,0.008289,0.017161,2.3e-05,0.23007
dutogliptin,0.255542,0.008289,0.017161,2.3e-05,0.23007
teneligliptin,0.255542,0.008289,0.017161,2.3e-05,0.23007
omarigliptin,0.255542,0.008289,0.017161,2.3e-05,0.23007
carmegliptin,0.255542,0.008289,0.017161,2.3e-05,0.23007
gemigliptin,0.255542,0.008289,0.017161,2.3e-05,0.23007
anagliptin,0.255542,0.008289,0.017161,2.3e-05,0.23007
evogliptin,0.255542,0.008289,0.017161,2.3e-05,0.23007
polymyxin b,0.255463,0.001681,0.003782,0.0,0.25
iobenguane,0.255463,0.001681,0.003782,0.0,0.25
levosalbutamol,0.255435,0.015129,0.028792,2e-05,0.211494
pheniramine,0.255413,0.004058,0.008854,1e-06,0.2425
bromotheophylline,0.255347,0.007304,0.015296,1e-05,0.232738
ofloxacin,0.255275,0.008521,0.017565,0.000108,0.229082
sparfloxacin,0.255271,0.006434,0.013614,8.8e-05,0.235135
fleroxacin,0.255271,0.006434,0.013614,8.8e-05,0.235135
prulifloxacin,0.255271,0.006434,0.013614,8.8e-05,0.235135
oxolinic acid,0.255271,0.006434,0.013614,8.8e-05,0.235135
rufloxacin,0.255271,0.006434,0.013614,8.8e-05,0.235135
glycochenodeoxycholic acid,0.255253,0.006434,0.013614,7e-05,0.235135
levofloxacin,0.255174,0.011535,0.022898,0.000138,0.220603
progabide,0.255145,0.002203,0.004916,0.0,0.248026
brexanolone,0.255145,0.002203,0.004916,0.0,0.248026
conjugated estrogens,0.255136,0.013332,0.025885,0.000159,0.215761
revumenib,0.255115,0.004,0.008724,0.0,0.242391
doxifluridine,0.255086,0.001565,0.003521,0.0,0.25
nicotine,0.255003,0.00713,0.014944,3e-06,0.232927
"thyroid, porcine",0.254999,0.004753,0.010263,4.4e-05,0.239939
calcium acetate,0.254988,0.005101,0.010967,0.0,0.23892
calcium glucoheptonate,0.254988,0.005101,0.010967,0.0,0.23892
calcium chloride,0.254988,0.005101,0.010967,0.0,0.23892
calcium gluconate,0.254988,0.005101,0.010967,0.0,0.23892
calcium glubionate anhydrous,0.254988,0.005101,0.010967,0.0,0.23892
calcium pangamate,0.254988,0.005101,0.010967,0.0,0.23892
calcium levulinate,0.254988,0.005101,0.010967,0.0,0.23892
dexmedetomidine,0.254973,0.016404,0.030683,2.4e-05,0.207862
melagatran,0.254903,0.002145,0.004786,0.0,0.247973
lincomycin,0.254901,0.001507,0.00339,4e-06,0.25
dexrazoxane,0.254831,0.010202,0.020564,5.9e-05,0.224006
doxofylline,0.25482,0.014549,0.027801,0.000119,0.212351
clomipramine,0.254803,0.018549,0.033787,4.6e-05,0.202422
cisplatin,0.254723,0.013332,0.025845,0.000111,0.215435
viomycin,0.254709,0.001449,0.00326,0.0,0.25
teriparatide,0.254709,0.001449,0.00326,0.0,0.25
lanthanum carbonate,0.254709,0.001449,0.00326,0.0,0.25
bismuth subsalicylate,0.254707,0.006956,0.014592,3.4e-05,0.233125
dersalazine,0.254707,0.006956,0.014592,3.4e-05,0.233125
phenyl aminosalicylate,0.254707,0.006956,0.014592,3.4e-05,0.233125
methyl salicylate,0.254707,0.006956,0.014592,3.4e-05,0.233125
thiosalicylic acid,0.254707,0.006956,0.014592,3.4e-05,0.233125
brompheniramine,0.254694,0.007941,0.016457,4e-06,0.230292
methylenedioxyethamphetamine,0.254689,0.004521,0.00978,3e-06,0.240385
ykp-1358,0.25466,0.002087,0.004655,1e-06,0.247917
chlorcyclizine,0.254612,0.004115,0.008945,1e-06,0.241549
bilastine,0.254612,0.004115,0.008945,1e-06,0.241549
botulinum toxin type a,0.254522,0.00284,0.006272,2e-06,0.245408
ulobetasol,0.254521,0.001391,0.00313,0.0,0.25
methotrimeprazine,0.254424,0.014955,0.028401,2.2e-05,0.211047
fluocortin,0.254332,0.001333,0.002999,0.0,0.25
fluprednidene acetate,0.254332,0.001333,0.002999,0.0,0.25
potassium citrate,0.254311,0.009796,0.019808,3e-06,0.224704
seocalcitol,0.254275,0.002782,0.006142,3.9e-05,0.245312
maxacalcitol,0.254275,0.002782,0.006142,3.9e-05,0.245312
taurocholic acid,0.25419,0.007941,0.016417,8.7e-05,0.229745
mechlorethamine,0.254189,0.008811,0.018021,5.4e-05,0.227303
fluvoxamine,0.254178,0.01681,0.031166,0.000168,0.206034
chenodeoxycholic acid,0.25417,0.006492,0.013666,8.3e-05,0.233929
ofatumumab,0.254151,0.001275,0.002869,7e-06,0.25
follitropin,0.254144,0.001275,0.002869,0.0,0.25
protirelin,0.254144,0.001275,0.002869,0.0,0.25
elcatonin,0.254144,0.001275,0.002869,0.0,0.25
thyrotropin,0.254144,0.001275,0.002869,0.0,0.25
formocortal,0.254144,0.001275,0.002869,0.0,0.25
loteprednol,0.254144,0.001275,0.002869,0.0,0.25
mebeverine,0.25404,0.004927,0.010576,8e-06,0.238529
batefenterol,0.253981,0.005681,0.012075,1e-06,0.236224
carbamazepine,0.25397,0.016056,0.02994,0.000753,0.20722
imipenem,0.253956,0.001217,0.002738,0.0,0.25
diflorasone,0.253956,0.001217,0.002738,0.0,0.25
clocortolone,0.253956,0.001217,0.002738,0.0,0.25
halometasone,0.253956,0.001217,0.002738,0.0,0.25
tryptophan,0.253905,0.001913,0.004264,1e-06,0.247727
dimethyltryptamine,0.253905,0.001913,0.004264,1e-06,0.247727
serotonin,0.253905,0.001913,0.004264,1e-06,0.247727
mosapride,0.253905,0.001913,0.004264,1e-06,0.247727
vabicaserin,0.253905,0.001913,0.004264,1e-06,0.247727
m-chlorophenylpiperazine,0.253905,0.001913,0.004264,1e-06,0.247727
mk-212,0.253905,0.001913,0.004264,1e-06,0.247727
felcisetrag,0.253905,0.001913,0.004264,1e-06,0.247727
tandospirone,0.253905,0.001913,0.004264,1e-06,0.247727
eltoprazine,0.253905,0.001913,0.004264,1e-06,0.247727
bifemelane,0.253905,0.001913,0.004264,1e-06,0.247727
"n-(2-hydroxybenzyl)-2,5-dimethoxy-4-cyanophenylethylamine",0.253905,0.001913,0.004264,1e-06,0.247727
corticorelin ovine triflutate,0.253767,0.001159,0.002608,0.0,0.25
cycloserine,0.253767,0.001159,0.002608,0.0,0.25
pirlimycin,0.253767,0.001159,0.002608,0.0,0.25
rasburicase,0.253767,0.001159,0.002608,0.0,0.25
dactinomycin,0.253762,0.007246,0.015087,2.9e-05,0.2314
acetazolamide,0.253743,0.007014,0.014644,6.1e-05,0.232025
interferon alfa-n1,0.253738,0.00655,0.013757,2.4e-05,0.233407
interferon alfa-n3,0.253738,0.00655,0.013757,2.4e-05,0.233407
interferon gamma-1b,0.253738,0.00655,0.013757,2.4e-05,0.233407
interferon beta-1b,0.253738,0.00655,0.013757,2.4e-05,0.233407
interferon alfacon-1,0.253738,0.00655,0.013757,2.4e-05,0.233407
interferon alfa,0.253738,0.00655,0.013757,2.4e-05,0.233407
doxycycline,0.253719,0.010376,0.02076,0.000237,0.222346
saralasin,0.253684,0.012984,0.02518,6e-06,0.215513
articaine,0.253646,0.001855,0.004134,1e-06,0.247656
rolipram,0.253645,0.001855,0.004134,0.0,0.247656
dasatinib,0.253596,0.012694,0.024685,0.000121,0.216096
pranoprofen,0.253579,0.001101,0.002478,0.0,0.25
imipramine,0.253571,0.018665,0.033774,4.6e-05,0.201087
antazoline,0.253516,0.004115,0.008906,1e-06,0.240493
mizolastine,0.253516,0.004115,0.008906,1e-06,0.240493
oxatomide,0.253516,0.004115,0.008906,1e-06,0.240493
amphetamine,0.253472,0.015071,0.028466,3.1e-05,0.209904
carfilzomib,0.253466,0.007304,0.015179,3.1e-05,0.230952
dacarbazine,0.253454,0.011535,0.022742,8.2e-05,0.219095
dextran,0.253437,0.010202,0.020447,6.1e-05,0.222727
durvalumab,0.253396,0.001043,0.002347,5e-06,0.25
teprotumumab,0.253395,0.001043,0.002347,4e-06,0.25
mizoribine,0.253391,0.001043,0.002347,0.0,0.25
rindopepimut,0.253391,0.001043,0.002347,0.0,0.25
gramicidin d,0.253391,0.001043,0.002347,0.0,0.25
mupirocin,0.253391,0.001043,0.002347,0.0,0.25
ethionamide,0.253391,0.001043,0.002347,0.0,0.25
clavulanic acid,0.253391,0.001043,0.002347,0.0,0.25
spectinomycin,0.253391,0.001043,0.002347,0.0,0.25
virginiamycin m1,0.253391,0.001043,0.002347,0.0,0.25
maltotetraose,0.253391,0.001043,0.002347,0.0,0.25
fosmidomycin,0.253391,0.001043,0.002347,0.0,0.25
ge-2270a,0.253391,0.001043,0.002347,0.0,0.25
acetic acid,0.253391,0.001043,0.002347,0.0,0.25
ubenimex,0.253391,0.001043,0.002347,0.0,0.25
aurodox,0.253391,0.001043,0.002347,0.0,0.25
streptolydigin,0.253391,0.001043,0.002347,0.0,0.25
ramoplanin,0.253391,0.001043,0.002347,0.0,0.25
teicoplanin,0.253391,0.001043,0.002347,0.0,0.25
dalbavancin,0.253391,0.001043,0.002347,0.0,0.25
squalamine,0.253391,0.001043,0.002347,0.0,0.25
anisomycin,0.253391,0.001043,0.002347,0.0,0.25
chloramphenicol succinate,0.253391,0.001043,0.002347,0.0,0.25
thiamphenicol,0.253391,0.001043,0.002347,0.0,0.25
fidaxomicin,0.253391,0.001043,0.002347,0.0,0.25
fusafungine,0.253391,0.001043,0.002347,0.0,0.25
enviomycin,0.253391,0.001043,0.002347,0.0,0.25
avilamycin,0.253391,0.001043,0.002347,0.0,0.25
bambermycins,0.253391,0.001043,0.002347,0.0,0.25
efrotomycin,0.253391,0.001043,0.002347,0.0,0.25
florfenicol,0.253391,0.001043,0.002347,0.0,0.25
gamithromycin,0.253391,0.001043,0.002347,0.0,0.25
lasalocid,0.253391,0.001043,0.002347,0.0,0.25
narasin,0.253391,0.001043,0.002347,0.0,0.25
roxarsone,0.253391,0.001043,0.002347,0.0,0.25
thiostrepton,0.253391,0.001043,0.002347,0.0,0.25
tiamulin,0.253391,0.001043,0.002347,0.0,0.25
tulathromycin a,0.253391,0.001043,0.002347,0.0,0.25
ceftiofur,0.253391,0.001043,0.002347,0.0,0.25
maduramicin,0.253391,0.001043,0.002347,0.0,0.25
salinomycin,0.253391,0.001043,0.002347,0.0,0.25
isatoic anhydride,0.253391,0.001043,0.002347,0.0,0.25
epetraborole,0.253391,0.001043,0.002347,0.0,0.25
lanopepden,0.253391,0.001043,0.002347,0.0,0.25
radezolid,0.253391,0.001043,0.002347,0.0,0.25
protionamide,0.253391,0.001043,0.002347,0.0,0.25
amithiozone,0.253391,0.001043,0.002347,0.0,0.25
biapenem,0.253391,0.001043,0.002347,0.0,0.25
delpazolid,0.253391,0.001043,0.002347,0.0,0.25
tunicamycin,0.253391,0.001043,0.002347,0.0,0.25
azidamfenicol,0.253391,0.001043,0.002347,0.0,0.25
pristinamycin,0.253391,0.001043,0.002347,0.0,0.25
decamethoxine,0.253391,0.001043,0.002347,0.0,0.25
malacidin a,0.253391,0.001043,0.002347,0.0,0.25
malacidin b,0.253391,0.001043,0.002347,0.0,0.25
nigericin,0.253391,0.001043,0.002347,0.0,0.25
tedizolid,0.253391,0.001043,0.002347,0.0,0.25
murepavadin,0.253391,0.001043,0.002347,0.0,0.25
ala-geninthiocin,0.253391,0.001043,0.002347,0.0,0.25
durlobactam,0.253391,0.001043,0.002347,0.0,0.25
enmetazobactam,0.253391,0.001043,0.002347,0.0,0.25
iron dextran,0.253391,0.001043,0.002347,0.0,0.25
lofexidine,0.25339,0.017737,0.032431,3.6e-05,0.203186
glutethimide,0.253381,0.001797,0.004003,0.0,0.247581
alverine,0.253381,0.001797,0.004003,0.0,0.247581
oxitriptan,0.253381,0.001797,0.004003,0.0,0.247581
aniracetam,0.253381,0.001797,0.004003,0.0,0.247581
nomifensine,0.253381,0.001797,0.004003,0.0,0.247581
cilansetron,0.253381,0.001797,0.004003,0.0,0.247581
renzapride,0.253381,0.001797,0.004003,0.0,0.247581
temanogrel,0.253381,0.001797,0.004003,0.0,0.247581
naronapride,0.253381,0.001797,0.004003,0.0,0.247581
prx-08066,0.253381,0.001797,0.004003,0.0,0.247581
dextofisopam,0.253381,0.001797,0.004003,0.0,0.247581
saredutant,0.253381,0.001797,0.004003,0.0,0.247581
captodiame,0.253381,0.001797,0.004003,0.0,0.247581
edivoxetine,0.253381,0.001797,0.004003,0.0,0.247581
nisoxetine,0.253381,0.001797,0.004003,0.0,0.247581
lortalamine,0.253381,0.001797,0.004003,0.0,0.247581
talopram,0.253381,0.001797,0.004003,0.0,0.247581
iproclozide,0.253381,0.001797,0.004003,0.0,0.247581
iferanserin,0.253381,0.001797,0.004003,0.0,0.247581
lanicemine,0.253381,0.001797,0.004003,0.0,0.247581
idalopirdine,0.253381,0.001797,0.004003,0.0,0.247581
eplivanserin,0.253381,0.001797,0.004003,0.0,0.247581
cerlapirdine,0.253381,0.001797,0.004003,0.0,0.247581
esreboxetine,0.253381,0.001797,0.004003,0.0,0.247581
orvepitant,0.253381,0.001797,0.004003,0.0,0.247581
pivagabine,0.253381,0.001797,0.004003,0.0,0.247581
medifoxamine,0.253381,0.001797,0.004003,0.0,0.247581
deanol,0.253381,0.001797,0.004003,0.0,0.247581
oxaflozane,0.253381,0.001797,0.004003,0.0,0.247581
iprazochrome,0.253381,0.001797,0.004003,0.0,0.247581
alfentanil,0.253377,0.014665,0.027828,1.5e-05,0.21087
brequinar,0.253202,0.000985,0.002217,0.0,0.25
pirarubicin,0.253202,0.000985,0.002217,0.0,0.25
triptolide,0.253202,0.000985,0.002217,0.0,0.25
gusperimus,0.253202,0.000985,0.002217,0.0,0.25
trofosfamide,0.253202,0.000985,0.002217,0.0,0.25
deoxyspergualin,0.253202,0.000985,0.002217,0.0,0.25
acteoside,0.253202,0.000985,0.002217,0.0,0.25
ziprasidone,0.253197,0.016462,0.03054,3.4e-05,0.206162
pentobarbital,0.253159,0.015187,0.02861,1.1e-05,0.209351
prilocaine,0.253113,0.001739,0.003873,1e-06,0.2475
delafloxacin,0.253098,0.012346,0.024059,0.000143,0.216549
sarpogrelate,0.253072,0.005796,0.012258,1.8e-05,0.235
dequalinium,0.253014,0.000927,0.002086,0.0,0.25
dipivefrin,0.253014,0.000927,0.002086,0.0,0.25
protokylol,0.253014,0.000927,0.002086,0.0,0.25
ephedra sinica root,0.253008,0.012288,0.023968,6e-06,0.216745
methotrexate,0.252988,0.014549,0.027567,0.000314,0.210558
cefradine,0.252971,0.010434,0.020812,5.9e-05,0.221667
pegloticase,0.252901,0.000812,0.001826,0.000264,0.25
natalizumab,0.252829,0.000869,0.001956,4e-06,0.25
anthrax immune globulin human,0.252829,0.000869,0.001956,4e-06,0.25
ublituximab,0.252829,0.000869,0.001956,4e-06,0.25
ocrelizumab,0.252829,0.000869,0.001956,4e-06,0.25
inebilizumab,0.252829,0.000869,0.001956,4e-06,0.25
"ebola zaire vaccine (live, attenuated)",0.252829,0.000869,0.001956,4e-06,0.25
carmustine,0.252804,0.012173,0.023746,0.0001,0.216786
thiamylal,0.25276,0.011709,0.022977,6e-06,0.218069
basiliximab,0.25264,0.000812,0.001826,3e-06,0.25
muromonab,0.25264,0.000812,0.001826,3e-06,0.25
efalizumab,0.25264,0.000812,0.001826,3e-06,0.25
antithymocyte immunoglobulin (rabbit),0.25264,0.000812,0.001826,3e-06,0.25
daclizumab,0.25264,0.000812,0.001826,3e-06,0.25
eculizumab,0.25264,0.000812,0.001826,3e-06,0.25
briakinumab,0.25264,0.000812,0.001826,3e-06,0.25
mepolizumab,0.25264,0.000812,0.001826,3e-06,0.25
denosumab,0.25264,0.000812,0.001826,3e-06,0.25
belimumab,0.25264,0.000812,0.001826,3e-06,0.25
vedolizumab,0.25264,0.000812,0.001826,3e-06,0.25
antilymphocyte immunoglobulin (horse),0.25264,0.000812,0.001826,3e-06,0.25
ixekizumab,0.25264,0.000812,0.001826,3e-06,0.25
ravulizumab,0.25264,0.000812,0.001826,3e-06,0.25
brodalumab,0.25264,0.000812,0.001826,3e-06,0.25
sirukumab,0.25264,0.000812,0.001826,3e-06,0.25
guselkumab,0.25264,0.000812,0.001826,3e-06,0.25
anifrolumab,0.25264,0.000812,0.001826,3e-06,0.25
risankizumab,0.25264,0.000812,0.001826,3e-06,0.25
rozanolixizumab,0.25264,0.000812,0.001826,3e-06,0.25
sutimlimab,0.25264,0.000812,0.001826,3e-06,0.25
bleselumab,0.25264,0.000812,0.001826,3e-06,0.25
spesolimab,0.25264,0.000812,0.001826,3e-06,0.25
inolimomab,0.25264,0.000812,0.001826,3e-06,0.25
crovalimab,0.25264,0.000812,0.001826,3e-06,0.25
zoledronic acid,0.252637,0.000812,0.001826,0.0,0.25
clodronic acid,0.252637,0.000812,0.001826,0.0,0.25
etidronic acid,0.252637,0.000812,0.001826,0.0,0.25
incadronic acid,0.252637,0.000812,0.001826,0.0,0.25
botulinum toxin type b,0.252557,0.001623,0.003612,0.0,0.247321
phensuximide,0.252557,0.001623,0.003612,0.0,0.247321
gabapentin,0.252557,0.001623,0.003612,0.0,0.247321
vigabatrin,0.252557,0.001623,0.003612,0.0,0.247321
phenacemide,0.252557,0.001623,0.003612,0.0,0.247321
levetiracetam,0.252557,0.001623,0.003612,0.0,0.247321
7-nitroindazole,0.252557,0.001623,0.003612,0.0,0.247321
valpromide,0.252557,0.001623,0.003612,0.0,0.247321
tramiprosate,0.252557,0.001623,0.003612,0.0,0.247321
gaboxadol,0.252557,0.001623,0.003612,0.0,0.247321
beclamide,0.252557,0.001623,0.003612,0.0,0.247321
tiletamine,0.252557,0.001623,0.003612,0.0,0.247321
etiracetam,0.252557,0.001623,0.003612,0.0,0.247321
carisbamate,0.252557,0.001623,0.003612,0.0,0.247321
pheneturide,0.252557,0.001623,0.003612,0.0,0.247321
phenibut,0.252557,0.001623,0.003612,0.0,0.247321
ethadione,0.252557,0.001623,0.003612,0.0,0.247321
cannabidivarin,0.252557,0.001623,0.003612,0.0,0.247321
jnj-26489112,0.252557,0.001623,0.003612,0.0,0.247321
zuclopenthixol,0.252495,0.015824,0.029497,3.1e-05,0.207143
pentostatin,0.252493,0.011303,0.022259,8.5e-05,0.218846
cetirizine,0.252463,0.010434,0.020773,7e-06,0.22125
cetuximab,0.252452,0.000754,0.001695,3e-06,0.25
panitumumab,0.252452,0.000754,0.001695,3e-06,0.25
galiximab,0.252452,0.000754,0.001695,3e-06,0.25
epratuzumab,0.252452,0.000754,0.001695,3e-06,0.25
oregovomab,0.252452,0.000754,0.001695,3e-06,0.25
labetuzumab,0.252452,0.000754,0.001695,3e-06,0.25
bavituximab,0.252452,0.000754,0.001695,3e-06,0.25
ramucirumab,0.252452,0.000754,0.001695,3e-06,0.25
farletuzumab,0.252452,0.000754,0.001695,3e-06,0.25
veltuzumab,0.252452,0.000754,0.001695,3e-06,0.25
ct-011,0.252452,0.000754,0.001695,3e-06,0.25
glembatumumab vedotin,0.252452,0.000754,0.001695,3e-06,0.25
olaratumab,0.252452,0.000754,0.001695,3e-06,0.25
nimotuzumab,0.252452,0.000754,0.001695,3e-06,0.25
elotuzumab,0.252452,0.000754,0.001695,3e-06,0.25
catumaxomab,0.252452,0.000754,0.001695,3e-06,0.25
volociximab,0.252452,0.000754,0.001695,3e-06,0.25
nivolumab,0.252452,0.000754,0.001695,3e-06,0.25
pembrolizumab,0.252452,0.000754,0.001695,3e-06,0.25
daratumumab,0.252452,0.000754,0.001695,3e-06,0.25
necitumumab,0.252452,0.000754,0.001695,3e-06,0.25
atezolizumab,0.252452,0.000754,0.001695,3e-06,0.25
conatumumab,0.252452,0.000754,0.001695,3e-06,0.25
tremelimumab,0.252452,0.000754,0.001695,3e-06,0.25
avelumab,0.252452,0.000754,0.001695,3e-06,0.25
rilotumumab,0.252452,0.000754,0.001695,3e-06,0.25
duligotuzumab,0.252452,0.000754,0.001695,3e-06,0.25
zalutumumab,0.252452,0.000754,0.001695,3e-06,0.25
mogamulizumab,0.252452,0.000754,0.001695,3e-06,0.25
dacetuzumab,0.252452,0.000754,0.001695,3e-06,0.25
intetumumab,0.252452,0.000754,0.001695,3e-06,0.25
ecromeximab,0.252452,0.000754,0.001695,3e-06,0.25
edrecolomab,0.252452,0.000754,0.001695,3e-06,0.25
cemiplimab,0.252452,0.000754,0.001695,3e-06,0.25
isatuximab,0.252452,0.000754,0.001695,3e-06,0.25
relatlimab,0.252452,0.000754,0.001695,3e-06,0.25
lintuzumab,0.252452,0.000754,0.001695,3e-06,0.25
tislelizumab,0.252452,0.000754,0.001695,3e-06,0.25
bermekimab,0.252452,0.000754,0.001695,3e-06,0.25
trastuzumab deruxtecan,0.252452,0.000754,0.001695,3e-06,0.25
margetuximab,0.252452,0.000754,0.001695,3e-06,0.25
toripalimab,0.252452,0.000754,0.001695,3e-06,0.25
tafasitamab,0.252452,0.000754,0.001695,3e-06,0.25
zolbetuximab,0.252452,0.000754,0.001695,3e-06,0.25
pidilizumab,0.252452,0.000754,0.001695,3e-06,0.25
zanidatamab,0.252452,0.000754,0.001695,3e-06,0.25
dostarlimab,0.252452,0.000754,0.001695,3e-06,0.25
abagovomab,0.252452,0.000754,0.001695,3e-06,0.25
magrolimab,0.252452,0.000754,0.001695,3e-06,0.25
sugemalimab,0.252452,0.000754,0.001695,3e-06,0.25
proparacaine,0.252449,0.000754,0.001695,0.0,0.25
etidocaine,0.252449,0.000754,0.001695,0.0,0.25
propoxycaine,0.252449,0.000754,0.001695,0.0,0.25
butamben,0.252449,0.000754,0.001695,0.0,0.25
butacaine,0.252449,0.000754,0.001695,0.0,0.25
butanilicaine,0.252449,0.000754,0.001695,0.0,0.25
metabutethamine,0.252449,0.000754,0.001695,0.0,0.25
quinisocaine,0.252449,0.000754,0.001695,0.0,0.25
varicella zoster vaccine (live/attenuated),0.252449,0.000754,0.001695,0.0,0.25
ceftriaxone,0.25239,0.010028,0.020056,5.2e-05,0.222254
metformin,0.252348,0.011709,0.022937,3e-06,0.217698
tolevamer,0.25226,0.000696,0.001565,0.0,0.25
5-fluorouridine,0.25226,0.000696,0.001565,0.0,0.25
