drugbank_id,name,type,cas_number,unii,atc_codes,groups,indication,mechanism_of_action,smiles,inchi_key,molecular_weight,logp,pubchem_cid,chembl_id,kegg_id
DB00726,Trimipramine,small molecule,739-71-9,6S082C9NDT,N06AA06,approved|investigational,"For the treatment of depression and depression accompanied by anxiety, agitation or sleep disturbance",Trimipramine's mechanism of action differs from other tricyclic antidepressants. Trimipramine acts by decreasing the reuptake of norepinephrine and serotonin (5-HT).,CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C12,ZSCDBOWYZJWBIY-UHFFFAOYSA-N,294.4338,4.76,5584,CHEMBL644,D00394
DB00727,Nitroglycerin,small molecule,55-63-0,G59M7S0WS3,C01DA02|C01DA52|C05AE01,approved|investigational,"Sublingual nitroglycerin is indicated for the acute relief of an attack or acute prophylaxis of angina pectoris due to coronary artery disease.[L7102,L38369,L42320] Transdermal nitroglycerin is indicated for the prevention of angina pectoris due to coronary artery disease.[L7141]

Intravenous nitroglycerin is indicated for the treatment of peri-operative hypertension; for control of congestive heart failure in the setting of acute myocardial infarction; for treatment of angina pectoris in patients who have not responded to sublingual nitroglycerin and beta (β)-blockers; and for induction of intraoperative hypotension.[L7099] 

Topical nitroglycerin ointment is used to treat moderate to severe pain associated with chronic anal fissure.[L42445]","Nitroglycerin is converted by mitochondrial aldehyde dehydrogenase in smooth muscle cells to nitric oxide (NO), a potent vasodilator. NO activates the enzyme guanylate cyclase, which converts guanosine triphosphate (GTP) to cyclic guanosine 3',5'-monophosphate (cGMP) in vascular smooth muscle and other tissues.[A180166,A180169,A249970] cGMP is an endogenous vasodilator of vascular smooth muscle:[A180172] it causes protein kinase-dependent phosphorylation and activates downstream cascades that promote relaxation and increased blood flow in veins, arteries and cardiac tissue.[A180172,A249970] An _in vitro_ study using mouse aorta suggests that nitric oxide, an active metabolite of nitroglycerin, targets the natriuretic peptide receptors.[A5526]",[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O,SNIOPGDIGTZGOP-UHFFFAOYSA-N,227.0865,0.26,4510,CHEMBL730,D00515
DB00728,Rocuronium,small molecule,143558-00-3,WRE554RFEZ,M03AC09,approved|investigational,"For inpatients and outpatients as an adjunct to general anesthesia to facilitate both rapid sequence and routine tracheal intubation, and to provide skeletal muscle relaxation during surgery or mechanical ventilation.","Rocuronium acts by competing for cholinergic receptors at the motor end-plate. This action is antagonized by acetylcholinesterase inhibitors, such as neostigmine and edrophonium. Rocuronium acts by competitively binding to nicotinic cholinergic receptors. The binding of vecuronium decreases the opportunity for acetylcholine to bind to the nicotinic receptor at the postjunctional membrane of the myoneural junction. As a result, depolarization is prevented, calcium ions are not released and muscle contraction does not occur. Evidence also suggests that nondepolarizing agents can affect ACh release. It has been hypothesized that nondepolarzing agents bind to postjunctional (""curare"") receptors and may therefore interfere with the sodium and potassium flux, which is responsible for depolarization and repolarization of the membranes involved in muscle contraction.",[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)[C@H](C[C@]12C)N1CCOCC1)[N+]1(CC=C)CCCC1,YXRDKMPIGHSVRX-OOJCLDBCSA-N,529.7742,-0.33,441290,CHEMBL1201244,D00765
DB00730,Thiabendazole,small molecule,148-79-8,N1Q45E87DT,D01AC06|P02CA02,approved|vet_approved|withdrawn,"For the treatment of strongyloidiasis (threadworm), cutaneous larva migrans (creeping eruption), visceral larva migrans, and trichinosis.","The precise mode of action of thiabendazole on the parasite is unknown, but it most likely inhibits the helminth-specific enzyme fumarate reductase.",N1C2=CC=CC=C2N=C1C1=CSC=N1,WJCNZQLZVWNLKY-UHFFFAOYSA-N,201.248,2.33,5430,CHEMBL625,D00372
DB00731,Nateglinide,small molecule,105816-04-4,41X3PWK4O2,A10BX03,approved,For the treatment of non-insulin dependent-diabetes mellitus in conjunction with diet and exercise.,"Nateglinide activity is dependent on the presence functioning β cells and glucose. In contrast to sulfonylurea insulin secretatogogues, nateglinide has no effect on insulin release in the absence of glucose. Rather, it potentiates the effect of extracellular glucose on ATP-sensitive potassium channel and has little effect on insulin levels between meals and overnight. As such, nateglinide is more effective at reducing postprandial blood glucose levels than fasting blood glucose levels and requires a longer duration of therapy (approximately one month) before decreases in fasting blood glucose are observed. The insulinotropic effects of nateglinide are highest at intermediate glucose levels (3 to 10 mmol/L) and it does not increase insulin release already stimulated by high glucose concentrations (greater than 15 mmol/L). Nateglinide appears to be selective for pancreatic β cells and does not appear to affect skeletal or cardiac muscle or thyroid tissue.",CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](CC1=CC=CC=C1)C(O)=O,OELFLUMRDSZNSF-BRWVUGGUSA-N,317.429,4.03,5311309,CHEMBL783,D01111
DB00732,Atracurium besylate,small molecule,64228-81-5,40AX66P76P,,approved|investigational,"For use, as an adjunct to general anesthesia, to facilitate endotracheal intubation and to provide skeletal muscle relaxation during surgery or mechanical ventilation.","Atracurium antagonizes the neurotransmitter action of acetylcholine by binding competitively with cholinergic receptor sites on the motor end-plate. This antagonism is inhibited, and neuromuscular block reversed, by acetylcholinesterase inhibitors such as neostigmine, edrophonium, and pyridostigmine.",[O-]S(=O)(=O)C1=CC=CC=C1.[O-]S(=O)(=O)C1=CC=CC=C1.COC1=CC2=C(C=C1OC)C(CC1=CC(OC)=C(OC)C=C1)[N+](C)(CCC(=O)OCCCCCOC(=O)CC[N+]1(C)CCC3=C(C=C(OC)C(OC)=C3)C1CC1=CC(OC)=C(OC)C=C1)CC2,XXZSQOVSEBAPGS-UHFFFAOYSA-L,1243.49,-0.96,47320,CHEMBL1200527,D00758
DB00733,Pralidoxime,small molecule,6735-59-7,P7MU9UTP52,V03AB04|V03AB54,approved|vet_approved,For the treatment of poisoning due to those pesticides and chemicals of the organophosphate class which have anticholinesterase activity and in the control of overdosage by anticholinesterase drugs used in the treatment of myasthenia gravis.,"Pralidoxime is an antidote to organophosphate pesticides and chemicals. Organophosphates bind to the esteratic site of acetylcholinesterase, which results initially in reversible inactivation of the enzyme. Acetylcholinesterase inhibition causes acetylcholine to accumulate in synapses, producing continuous stimulation of cholinergic fibers throughout the nervous systems. If given within 24 hours after organophosphate exposure, pralidoxime reactivates the acetylcholinesterase by cleaving the phosphate-ester bond formed between the organophosphate and acetylcholinesterase.",C[N+]1=C(\C=N\O)C=CC=C1,JBKPUQTUERUYQE-UHFFFAOYSA-O,137.1592,-3.3,5353894,CHEMBL1420,C07400
DB00734,Risperidone,small molecule,106266-06-2,L6UH7ZF8HC,N05AX08,approved|investigational,"Risperidone is indicated for the treatment of schizophrenia [L12885,L44692,L46297] and irritability associated with autistic disorder.[L12885] It is also indicated as monotherapy, or adjunctly with lithium or valproic acid, for the treatment of acute mania or mixed episodes associated with bipolar I disorder.[L12885,L44692]

Risperidone is additionally indicated in Canada for the short-term symptomatic management of aggression or psychotic symptoms in patients with severe dementia of the Alzheimer type unresponsive to nonpharmacological approaches.[L12906]

Risperidone is also used off-label for a number of conditions including as an adjunct to antidepressants in treatment-resistant depression.[A177226]","Though its precise mechanism of action is not fully understood, current focus is on the ability of risperidone to inhibit the D2 dopaminergic receptors and 5-HT2A serotonergic receptors in the brain. Schizophrenia is thought to result from an excess of dopaminergic D2 and serotonergic 5-HT2A activity, resulting in overactivity of central mesolimbic pathways and mesocortical pathways, respectively.[A1115, A1116, A1117]

D2 dopaminergic receptors are transiently inhibited by risperidone, reducing dopaminergic neurotransmission, therefore decreasing positive symptoms of schizophrenia, such as delusions and hallucinations.[A251765] Risperidone binds transiently and with loose affinity to the dopaminergic D2 receptor, with an ideal receptor occupancy of 60-70% for optimal effect.[A1119,A31773] Rapid dissociation of risperidone from the D2 receptors contributes to decreased risk of extrapyramidal symptoms (EPS), which occur with permanent and high occupancy blockade of D2 dopaminergic rece",CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1,RAPZEAPATHNIPO-UHFFFAOYSA-N,410.4845,2.63,5073,CHEMBL85,D00426
DB00736,Esomeprazole,small molecule,119141-88-7,N3PA6559FT,A02BD06|A02BC05|M01AE52,approved|investigational,"Esomeprazole is indicated for the treatment of acid-reflux disorders including healing and maintenance of erosive esophagitis, and symptomatic gastroesophageal reflux disease (GERD), peptic ulcer disease, H. pylori eradication, prevention of gastrointestinal bleeds with NSAID use, and for the long-term treatment of pathological hypersecretory conditions including Zollinger-Ellison Syndrome.","Esomeprazole exerts its stomach acid-suppressing effects by preventing the final step in gastric acid production by covalently binding to sulfhydryl groups of cysteines found on the (H+, K+)-ATPase enzyme at the secretory surface of gastric parietal cells. This effect leads to inhibition of both basal and stimulated gastric acid secretion, irrespective of the stimulus. As the binding of esomeprazole to the (H+, K+)-ATPase enzyme is irreversible and new enzyme needs to be expressed in order to resume acid secretion, esomeprazole's duration of antisecretory effect that persists longer than 24 hours.[FDA Label]",COC1=CC2=C(NC(=N2)[S@@](=O)CC2=NC=C(C)C(OC)=C2C)C=C1,SUBDBMMJDZJVOS-DEOSSOPVSA-N,345.416,2.43,9568614,CHEMBL1201320,D07917
DB00737,Meclizine,small molecule,569-65-3,3L5TQ84570,R06AE55|R06AE05,approved|investigational,"Indicated for the symptomatic treatment of nausea, vomiting, and dizziness associated with motion sickness,[L6772] and management of vertigo due to various causes, including radiation sickness, Meniere’s syndrome, labyrinthitis and other vestibular disturbances.[L6766]","Vomiting is a centrally regulated reflex mechanism that initiates from the vomiting center and the chemoreceptor trigger zone (CTZ) located in the medulla. Motion sickness is also regulated by CTZ. The blood-brain barrier near the CTZ is relatively permeable to circulating mediators and CTZ can transmit impulses to vomiting center located in the brainstem. Different receptors responding to different factors, including histamine, 5-HT, enkephalins, substance P, and dopamine, are expressed along the brainstem to activate respective pathways and contribute to the control of vomiting. Histamine H1 receptors are expressed on the vestibular nuclei and nucleus of the solitary tract (NTS) that are activated by motion sickness and stimuli from the pharynx and stomach. When activated, H1 receptor signaling from these nuclei is transmitted to the CTZ and vomiting centre.[T28] 

Through its antagonistic action on the H1 receptors, meclizine primarily works by inhibiting signaling pathway transdu",CC1=CC(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)=CC=C1,OCJYIGYOJCODJL-UHFFFAOYSA-N,390.948,6.39,4034,CHEMBL1623,D08163
DB00738,Pentamidine,small molecule,100-33-4,673LC5J4LQ,P01CX01,approved|investigational,For the treatment of pneumonia due to <i>Pneumocystis carinii</i>.,"The mode of action of pentamidine is not fully understood. It is thought that the drug interferes with nuclear metabolism producing inhibition of the synthesis of DNA, RNA, phospholipids, and proteins.",NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1,XDRYMKDFEDOLFX-UHFFFAOYSA-N,340.4195,2.32,4735,CHEMBL55,C07420
DB00739,Hetacillin,small molecule,3511-16-8,TN4JSC48CV,J01CA18|J01CR50,approved|vet_approved|withdrawn,Hetacillin is a beta-lactam antibiotic prodrug used to treat bacterial infections. In the body it gets converted to ampicillin.,"Hetacillin is a semisynthetic penicillin prodrug which itself has no antibacterial activity, but is converted in the body to ampicillin and has actions and uses similar to those of ampicillin. Hetacillin is prepared by reacting ampicillin with acetone. Ampicillin rapidly decomposes because of the intramolecular attack of the side chain amino group on the lactam ring. _In vitro_ studies have shown that hetacillin is resistant to beta lactamase activity.[A216921] However, this effect is transient, as the hydrolysis product, ampicillin, is readily inactivated by beta lactamase.[A216921] Hetacillin locks up the offending amino group and prevents the decomposition of Hetacillin. Once hydrolyzed to ampicillin (and acetone), ampicillin binds to the penicillin binding proteins found in susceptible bacteria. This inhibits the third and last stage of bacterial cell wall synthesis. Cell lysis is then mediated by bacterial cell wall autolytic enzymes such as autolysins.",[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2N1C(=O)[C@H](NC1(C)C)C1=CC=CC=C1)C(O)=O,DXVUYOAEDJXBPY-NFFDBFGFSA-N,389.469,0.056,443387,CHEMBL1201116,D01074
DB00740,Riluzole,small molecule,1744-22-5,7LJ087RS6F,N07XX02,approved|investigational,"For the treatment of amyotrophic lateral sclerosis (ALS, Lou Gehrig's Disease)","The mode of action of riluzole is unknown. Its pharmacological properties include the following, some of which may be related to its effect: 1) an inhibitory effect on glutamate release (activation of glutamate reuptake), 2) inactivation of voltage-dependent sodium channels, and 3) ability to interfere with intracellular events that follow transmitter binding at excitatory amino acid receptors.",NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2,FTALBRSUTCGOEG-UHFFFAOYSA-N,234.198,3.4,5070,CHEMBL744,D00775
DB00741,Hydrocortisone,small molecule,50-23-7,WI4X0X7BPJ,S01CB03|A01AC03|S01BA02|S01CA03|D07AA02|S01BB01|D07XA01|D07BA04|S02CA03|A07EA02|S02BA01|R01AD60|H02AB09|D07CA01|S03CA04|C05AA01,approved|investigational|vet_approved,"Otic solutions are indicated for infections of the external auditory canal caused by susceptible organisms and with inflammation.[L10529,L10532] Hydrocortisone tablets are indicated for certain endocrine, rheumatic, collagen, allergic, ophthalmic, respiratory, hematologic, neoplastic, edematous, gastrointestinal, and other conditions.[L10535] A hydrocortisone enema is indicated for ulcerative colitis,[L10538] a topical ointment with antibiotics is indicated for corticosteroid responsive dermatoses with infections,[L7772] and a topical cream with [acyclovir] is indicated to treat cold sores.[L7321] Oral granules of hydrocortisone are used as a replacement therapy for Adrenocortical Insufficiency (AI) in children under 17 years of age.[L16533]","The short-term effects of corticosteroids are decreased vasodilation and permeability of capillaries, as well as decreased leukocyte migration to sites of inflammation.[A187463] Corticosteroids binding to the glucocorticoid receptor mediates changes in gene expression that lead to multiple downstream effects over hours to days.[A187463]

Glucocorticoids inhibit neutrophil apoptosis and demargination; they inhibit phospholipase A2, which decreases the formation of arachidonic acid derivatives; they inhibit NF-Kappa B and other inflammatory transcription factors; they promote anti-inflammatory genes like interleukin-10.[A187463]

Lower doses of corticosteroids provide an anti-inflammatory effect, while higher doses are immunosuppressive.[A187463] High doses of glucocorticoids for an extended period bind to the mineralocorticoid receptor, raising sodium levels and decreasing potassium levels.[A187463]",[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,JYGXADMDTFJGBT-VWUMJDOOSA-N,362.4599,1.28,5754,CHEMBL389621,D00088
DB00742,Mannitol,small molecule,69-65-8,3OWL53L36A,B05CX04|A06AD16|R05CB16|B05BC01|V04CX04,approved|investigational,"Used for the promotion of diuresis before irreversible renal failure becomes established, the reduction of intracranial pressure, the treatment of cerebral edema, and the promotion of urinary excretion of toxic substances.

Mannitol is also indicated as add-on maintenance therapy for improving pulmonary function in cystic fibrosis patients aged 18 and over who have passed the BRONCHITOL tolerance test (BTT). It is recommended that patients take an orally inhaled short-acting bronchodilator 5-15 minutes prior to every inhaled mannitol dose.[L20024]","Mannitol is an osmotic diuretic that is metabolically inert in humans and occurs naturally, as a sugar or sugar alcohol, in fruits and vegetables. Mannitol elevates blood plasma osmolality, resulting in enhanced flow of water from tissues, including the brain and cerebrospinal fluid, into interstitial fluid and plasma. As a result, cerebral edema, elevated intracranial pressure, and cerebrospinal fluid volume and pressure may be reduced. As a diurectic mannitol induces diuresis because it is not reabsorbed in the renal tubule, thereby increasing the osmolality of the glomerular filtrate, facilitating excretion of water, and inhibiting the renal tubular reabsorption of sodium, chloride, and other solutes. Mannitol promotes the urinary excretion of toxic materials and protects against nephrotoxicity by preventing the concentration of toxic substances in the tubular fluid. As an Antiglaucoma agent mannitol levates blood plasma osmolarity, resulting in enhanced flow of water from the eye i",OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,FBPFZTCFMRRESA-KVTDHHQDSA-N,182.1718,-3.7,6251,CHEMBL689,D00062
DB00743,Gadobenic acid,small molecule,113662-23-0,15G12L5X8K,V08CA08,approved|investigational,"Gadobenate dimeglumine is indicated for use in magnetic resonance imaging (MRI) of the central nervous system in adult and pediatric patients in order to visualize lesions with abnormal blood-brain barrier or abnormal vascularity of the brain, spine, and associated tissues.[L40888] It is also indicated for use in magnetic resonance angiography (MRA) to evaluate adults with known or suspected renal or aorto-ilio-femoral occlusive vascular disease.[L40888]","Gadobenate dimeglumine is a paramagnetic agent and, as such, develops a magnetic moment when placed in a magnetic field. The large magnetic moment produced by the paramagnetic agent results in a large local magnetic field, which can enhance the relaxation rates of water protons in its vicinity leading to an increase of signal intensity (brightness) of tissue.[L49936]

In magnetic resonance imaging (MRI), visualization of normal and pathological tissue depends in part on variations in the radiofrequency signal intensity that occur with 1) differences in proton density; 2) differences of the spin-lattice or longitudinal relaxation times (T1); and 3) differences in the spin-spin or transverse relaxation time (T2). When placed in a magnetic field, gadobenate dimeglumine decreases the T1 and T2 relaxation time in target tissues. At recommended doses, the effect is observed with the greatest sensitivity in the T1-weighted sequences.[L49936]",[Gd+3].OC(=O)CN(CCN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O)C(COCC1=CC=CC=C1)C(O)=O,MXZROTBGJUUXID-UHFFFAOYSA-K,667.73,-4.1,131704172,CHEMBL1200571,D08018
DB00744,Zileuton,small molecule,111406-87-2,V1L22WVE2S,,approved|withdrawn,For the prophylaxis and chronic treatment of asthma in adults and children 12 years of age and older.,"Leukotrienes are substances that induce numerous biological effects including augmentation of neutrophil and eosinophil migration, neutrophil and monocyte aggregation, leukocyte adhesion, increased capillary permeability, and smooth muscle contraction. These effects contribute to inflammation, edema, mucus secretion, and bronchoconstriction in the airways of asthmatic patients. Zileuton relieves such symptoms through its selective inhibition of 5-lipoxygenase, the enzyme that catalyzes the formation of leukotrienes from arachidonic acid. Specifically, it inhibits leukotriene LTB4, LTC4, LTD4, and LTE4 formation. Both the R(+) and S(-) enantiomers are pharmacologically active as 5-lipoxygenase inhibitors in <i>in vitro</i> systems. Due to the role of leukotrienes in the pathogenesis of asthma, modulation of leukotriene formation by interruption of 5-lipoxygenase activity may reduce airway symptoms, decrease bronchial smooth muscle tone, and improve asthma control.",CC(N(O)C(N)=O)C1=CC2=CC=CC=C2S1,MWLSOWXNZPKENC-UHFFFAOYSA-N,236.29,2.01,60490,CHEMBL93,D00414
DB00745,Modafinil,small molecule,68693-11-8,R3UK8X3U3D,N06BA07,approved|investigational,To improve wakefulness in patients with excessive daytime sleepiness (EDS) associated with narcolepsy.,"The exact mechanism of action is unclear, although <i>in vitro</i> studies have shown it to inhibit the reuptake of dopamine by binding to the dopamine reuptake pump, and lead to an increase in extracellular dopamine. Modafinil activates glutamatergic circuits while inhibiting GABA. Modafinil is thought to have less potential for abuse than other stimulants due to the absence of any significant euphoric or pleasurable effects. It is possible that modafinil acts by a synergistic combination of mechanisms including direct inhibition of dopamine reuptake, indirect inhibition of noradrenalin reuptake in the VLPO and orexin activation. Modafinil has partial alpha 1B-adrenergic agonist effects by directly stimulating the receptors.",NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,YFGHCGITMMYXAQ-UHFFFAOYSA-N,273.35,1.53,4236,CHEMBL1373,D01832
DB00746,Deferoxamine,small molecule,70-51-9,J06Y7MXW4D,V03AC01,approved|investigational,Used to treat acute iron or aluminum toxicity (an excess of aluminum in the body) in certain patients. Also used in certain patients with anemia who must receive many blood transfusions.,"Deferoxamine works in treating iron toxicity by binding trivalent (ferric) iron (for which it has a strong affinity), forming ferrioxamine, a stable complex which is eliminated via the kidneys. 100 mg of deferoxamine is capable of binding approximately 8.5 mg of trivalent (ferric) iron. Deferoxamine works in treating aluminum toxicity by binding to tissue-bound aluminum to form aluminoxamine, a stable, water-soluble complex. The formation of aluminoxamine increases blood concentrations of aluminum, resulting in an increased concentration gradient between the blood and dialysate, boosting the removal of aluminum during dialysis. 100 mg of deferoxamine is capable of binding approximately 4.1 mg of aluminum.",CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,UBQYURCVBFRUQT-UHFFFAOYSA-N,560.684,-3.4,2973,CHEMBL556,D03670
DB00747,Scopolamine,small molecule,51-34-3,DL48G20X8X,N05CM05|S01FA02|A04AD01|A04AD51,approved|investigational,Scopolamine is indicated in adult patients for the prevention of nausea and vomiting associated with motion sickness and for the prevention of postoperative nausea and vomiting (PONV) associated with anesthesia or opiate analgesia.[L31578],"[Acetylcholine] (ACh) is a neurotransmitter that can signal through ligand-gated cation channels (nicotinic receptors) and G-protein-coupled muscarinic receptors (mAChRs). ACh signalling via mAChRs located in the central nervous system (CNS) and periphery can regulate smooth muscle contraction, glandular secretions, heart rate, and various neurological phenomena such as learning and memory.[A228738, A228743] mAChRs can be divided into five subtypes, M1-M5, expressed at various levels throughout the brain.[A228743] Also, M2 receptors are found in the heart and M3 receptors in smooth muscles, mediating effects apart from the direct modulation of the parasympathetic nervous system.[A228423] While M1, M3, and M5 mAChRs primarily couple to G<sub>q</sub> proteins to activate phospholipase C, M2 and M4 mainly couple to G<sub>i/o</sub> proteins to inhibit adenylyl cyclase and modulate cellular ion flow.[A228743] This system, in part, helps to control physiological responses such as nausea and ",CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,STECJAGHUSJQJN-FWXGHANASA-N,303.3529,0.89,3000322,CHEMBL569713,D00138
DB00748,Carbinoxamine,small molecule,486-16-8,982A7M02H5,R06AA08,approved,"For symptomatic relief of seasonal and perennial allergic rhinitis and vasomotor rhinitis, as well as allergic conjunctivitis caused by foods and inhaled allergens. Also for the relief of allergic reactions to blood or plasma, and the symptomatic management of mild, uncomplicated allergic skin manifestations of urticaria and angioedema.","Carbinoxamine competes with free histamine for binding at HA-receptor sites. This antagonizes the effects of histamine on HA-receptors, leading to a reduction of the negative symptoms brought on by histamine HA-receptor binding. Carbinoxamine's anticholinergic action appears to be due to a central antimuscarinic effect, which also may be responsible for its antiemetic effects, although the exact mechanism is unknown.",CN(C)CCOC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1,OJFSXZCBGQGRNV-UHFFFAOYSA-N,290.788,3.27,2564,CHEMBL864,C06871
DB00749,Etodolac,small molecule,41340-25-4,2M36281008,M01AB08,approved|investigational|vet_approved,"For acute and long-term management of signs and symptoms of osteoarthritis and rheumatoid arthritis, as well as for the management of pain.","Similar to other NSAIDs, the anti-inflammatory effects of etodolac result from inhibition of the enzyme cycooxygenase (COX). This decreases the synthesis of peripheral prostaglandins involved in mediating inflammation. Etodolac binds to the upper portion of the COX enzyme active site and prevents its substrate, arachidonic acid, from entering the active site. Etodolac was previously thought to be a non-selective COX inhibitor, but it is now known to be 5 – 50 times more selective for COX-2 than COX-1. Antipyresis may occur by central action on the hypothalamus, resulting in peripheral dilation, increased cutaneous blood flow, and subsequent heat loss.",CCC1=C2NC3=C(CCOC3(CC)CC(O)=O)C2=CC=C1,NNYBQONXHNTVIJ-UHFFFAOYSA-N,287.3535,3.44,3308,CHEMBL622,D00315
DB00750,Prilocaine,small molecule,721-50-6,046O35D44R,N01BB54|N01BB04,approved|investigational,Used as a local anaesthetic and is often used in dentistry.,"Prilocaine acts on sodium channels on the neuronal cell membrane, limiting the spread of seizure activity and reducing seizure propagation. The antiarrhythmic actions are mediated through effects on sodium channels in Purkinje fibers.",CCCNC(C)C(=O)NC1=CC=CC=C1C,MVFGUOIZUNYYSO-UHFFFAOYSA-N,220.3107,2.68,4906,CHEMBL1194,D00553
DB00751,Epinastine,small molecule,80012-43-7,Q13WX941EF,S01GX10|R06AX24,approved,For the prevention of itching associated with allergic conjunctivitis.,"Epinastine has a multiaction effect that inhibits the allergic response in 3 ways: 1. stabilizes mast cells by preventing mast cell degranulation to control the allergic response, 2. prevents histamine binding to both the H1- and H<sub>2</sub>-receptors to stop itching and provide lasting protection, and 3. prevents the release of proinflammatory chemical mediators from the blood vessel to halt progression of the allergic response.",NC1=NCC2N1C1=CC=CC=C1CC1=CC=CC=C21,WHWZLSFABNNENI-UHFFFAOYSA-N,249.3104,3.07,3241,CHEMBL1106,D01713
DB00752,Tranylcypromine,small molecule,155-09-9,3E3V44J4Z9,N06AF04,approved|investigational,For the treatment of major depressive episode without melancholia.,"Tranylcypromine irreversibly and nonselectively inhibits monoamine oxidase (MAO). Within neurons, MAO appears to regulate the levels of monoamines released upon synaptic firing. Since depression is associated with low levels of monoamines, the inhibition of MAO serves to ease depressive symptoms, as this results in an increase in the concentrations of these amines within the CNS.",NC1CC1C1=CC=CC=C1,AELCINSCMGFISI-UHFFFAOYSA-N,133.194,1.34,5530,CHEMBL313833,D08625
DB00753,Isoflurane,small molecule,26675-46-7,CYS9AKD70P,N01AB06,approved|investigational|vet_approved,For induction and maintenance of general anesthesia.,"Isoflurane induces a reduction in junctional conductance by decreasing gap junction channel opening times and increasing gap junction channel closing times. Isoflurane also activates calcium dependent ATPase in the sarcoplasmic reticulum by increasing the fluidity of the lipid membrane. Also appears to bind the D subunit of ATP synthase and NADH dehydogenase. Isoflurane also binds to the GABA receptor, the large conductance Ca<sup>2+</sup> activated potassium channel, the glutamate receptor and the glycine receptor.",FC(F)OC(Cl)C(F)(F)F,PIWKPBJCKXDKJR-UHFFFAOYSA-N,184.492,2.84,3763,CHEMBL1256,D00545
DB00754,Ethotoin,small molecule,86-35-1,46QG38NC4U,N03AB01,approved,For the control of tonic-clonic (grand mal) and complex partial (psychomotor) seizures.,"The mechanism of action is probably very similar to that of phenytoin. The latter drug appears to stabilize rather than to raise the normal seizure threshold, and to prevent the spread of seizure activity rather than to abolish the primary focus of seizure discharges. Ethotoin inhibits nerve impulses in the motor cortex by lowering sodium ion influx, limiting tetanic stimulation.",CCN1C(=O)NC(C1=O)C1=CC=CC=C1,SZQIFWWUIBRPBZ-UHFFFAOYSA-N,204.2252,1.07,3292,CHEMBL1095,D00708
DB00755,Tretinoin,small molecule,302-79-4,5688UTC01R,L01XF01|D10AD51|D10AD01,approved|investigational|nutraceutical,"Oral tretinoin is indicated for induction of remission in adults and pediatric patients one year of age and older with acute promyelocytic leukemia (APL), characterized by the presence of t(15;17) translocation or presence of PML/RARα gene expression and who are refractory to or who have relapsed from anthracycline chemotherapy or for whom anthracycline-based chemotherapy is contraindicated.[L45349]

Topical tretinoin is also indicated alone [L45389] or in combination with [benzoyl peroxide] [L34869] or [clindamycin] [L45384] for the treatment of acne vulgaris. It is also used in prescription and over-the-counter for treating various skin conditions such as melasma,[L45394] hyperpigmentation,[A257474] and photoaging [A258180] alone or in combination with other drugs.","The exact mechanism of action of tretinoin in skin conditions and acute promyelocytic leukemia (APL) has not been fully elucidated; however, several proposed mechanisms exist. Tretinoin is believed to exert its pharmacological actions by binding to and activating two types of nuclear receptors - retinoic acid receptors (RARs) alpha, beta, and gamma and retinoid X receptors (RXRs). In the human skin, RARs (especially RAR-alpha) form heterodimers with RXR to act as inducible transcription regulators of genes involved in cell differentiation by binding to retinoic acid response elements.[A257724,A258185] Tretinoin binds to RXRs to promote epidermal proliferation. It also blocks the actions of inflammatory mediators, enhancing procollagen production and collagen type I and III formations.[A257474,A257629,A257609,A257699] Some animal and human studies suggest that tretinoin induces the expression of transforming growth factor beta (TGF-β), which stimulates the transcription of several types",C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O,SHGAZHPCJJPHSC-YCNIQYBTSA-N,300.442,5.01,5538,CHEMBL38,D00094
