name,mesh_id,source
Diterpenes,D004224,DrugBank
Naphthalenes,D009281,DrugBank
Naphthoquinones,D009285,DrugBank
Phytol,D010836,DrugBank
Quinones,D011809,DrugBank
Terpenes,D013729,DrugBank
Vitamin K,D014812,DrugBank
UGT1A1 Inhibitors,,DrugBank
Anticholesteremic Agents,D000924,DrugBank
Hydroxymethylglutaryl-CoA Reductase Inhibitors,D019161,DrugBank
Hypolipidemic Agents Indicated for Hyperlipidemia,,DrugBank
Lipid Modifying Agents,,DrugBank
"Lipid Modifying Agents, Plain",,DrugBank
OATP1B3 substrates,,DrugBank
OATP2B1/SLCO2B1 substrates,,DrugBank
Anti-Anxiety Agents,D014151,DrugBank
Antidepressive Agents Indicated for Depression,,DrugBank
Cytochrome P-450 CYP1A2 Inhibitors (strong),,DrugBank
Cytochrome P-450 CYP1A2 Substrates,,DrugBank
Cytochrome P-450 CYP2C19 Inhibitors (strong),,DrugBank
Cytochrome P-450 CYP2C9 Inhibitors (moderate),,DrugBank
Cytochrome P-450 CYP2D6 Substrates,,DrugBank
Cytochrome P-450 CYP3A7 Inhibitors (moderate),,DrugBank
Hydroxylamines,D006898,DrugBank
Neurotransmitter Uptake Inhibitors,D014179,DrugBank
Oximes,D010091,DrugBank
Selective Serotonin Reuptake Inhibitors,D017367,DrugBank
Serotonin Agents,D018490,DrugBank
Serotonin Modulators,,DrugBank
Tranquilizing Agents,D014149,DrugBank
Agents Acting on the Renin-Angiotensin System,,DrugBank
Angiotensin 2 Receptor Blocker,,DrugBank
Angiotensin II Antagonists and Calcium Channel Blockers,,DrugBank
Angiotensin II Antagonists and Diuretics,,DrugBank
Angiotensin II receptor antagonists,D057911,DrugBank
Angiotensin II receptor blockers (ARBs) and calcium channel blockers,,DrugBank
Angiotensin II receptor blockers (ARBs) and diuretics,,DrugBank
"Angiotensin II receptor blockers (ARBs), plain",,DrugBank
Angiotensin II Type 1 Receptor Blockers,D047228,DrugBank
Angiotensin II Type 2 Receptor Blockers,D057912,DrugBank
Angiotensin Receptor Antagonists,D057911,DrugBank
Antihypertensive Agents,D000959,DrugBank
Antihypertensive Agents Indicated for Hypertension,,DrugBank
Cytochrome P-450 CYP2C9 Substrates,,DrugBank
ACE Inhibitors and Calcium Channel Blockers,,DrugBank
ACE Inhibitors and Diuretics,,DrugBank
Angiotensin-Converting Enzyme Inhibitors,D000806,DrugBank
"Analgesics, Non-Narcotic",D018712,DrugBank
Benzene Derivatives,D001555,DrugBank
Benzyl Compounds,D001593,DrugBank
Catechols,D002396,DrugBank
Cyclooxygenase Inhibitors,D016861,DrugBank
Lignans,D017705,DrugBank
Lipoxygenase Inhibitors,D016859,DrugBank
Phenols,D010636,DrugBank
Sensory System Agents,D018689,DrugBank
Adrenals,,DrugBank
Corticosteroid Hormone Receptor Agonists,,DrugBank
Corticosteroids,D000305,DrugBank
Corticosteroids for Systemic Use,,DrugBank
Drugs for Obstructive Airway Diseases,,DrugBank
Nasal Preparations,,DrugBank
Pregnadienes,D011245,DrugBank
Pregnanes,D011278,DrugBank
"Steroids, Fluorinated",D013259,DrugBank
Aminobutyrates,D000613,DrugBank
Butyrates,D002087,DrugBank
GABA Agents,D018682,DrugBank
GABA Agonists,D018755,DrugBank
GABA-B Receptor Agonists,D058786,DrugBank
Gaba-derivative Skeletal Muscle Relaxants,,DrugBank
gamma-Aminobutyric Acid-ergic Agonist,,DrugBank
"Muscle Relaxants, Centrally Acting Agents",D009125,DrugBank
Adrenergic Agents,D018663,DrugBank
Agents producing tachycardia,,DrugBank
Amphetamines,D000662,DrugBank
Autonomic Agents,D001337,DrugBank
Biogenic Monoamines,D015306,DrugBank
Central Nervous System Stimulants,D000697,DrugBank
Central Nervous System Stimulation,,DrugBank
Centrally Acting Sympathomimetics,,DrugBank
Cytochrome P-450 CYP2A6 Inhibitors (weak),,DrugBank
Dopamine Agents,D015259,DrugBank
Dopamine Uptake Inhibitors,D018765,DrugBank
Phenethylamines,D010627,DrugBank
"Psychostimulants, Agents Used for ADHD and Nootropics",,DrugBank
Sympathomimetics,D013566,DrugBank
Alkaloids,D000470,DrugBank
Cholinergic Agonists,D018679,DrugBank
Cholinergic Nicotinic Agonist,,DrugBank
Cytochrome P-450 CYP1A1 Substrates,,DrugBank
Cytochrome P-450 CYP2A6 Substrates,,DrugBank
Cytochrome P-450 CYP2B6 Substrates,,DrugBank
Cytochrome P-450 CYP2C19 Substrates,,DrugBank
Cytochrome P-450 CYP2C8 Substrates,,DrugBank
Cytochrome P-450 CYP2E1 Inducers,D065700,DrugBank
Cytochrome P-450 CYP2E1 Inducers (strength unknown),,DrugBank
Cytochrome P-450 CYP2E1 Substrates,,DrugBank
Drugs Used in Addictive Disorders,,DrugBank
Drugs Used in Nicotine Dependence,,DrugBank
Ganglionic Stimulants,D005731,DrugBank
Miscellaneous Autonomic Drugs,,DrugBank
Monoamine Oxidase A Inhibitors  for interaction with Monoamine Oxidase A substrates,,DrugBank
"Nicotine, antagonists & inhibitors",,DrugBank
Nicotinic Agonists,D018722,DrugBank
Smoking Cessation Agents,D000077444,DrugBank
Solanaceous Alkaloids,D012991,DrugBank
Cholinergic Receptor Agonist,,DrugBank
Muscarinic Agonists,D018721,DrugBank
Parasympathomimetics,D010277,DrugBank
Anticonvulsants,D000927,DrugBank
Antiemetics,D000932,DrugBank
Benzazepines,D001552,DrugBank
Benzodiazepine hypnotics and sedatives,,DrugBank
Benzodiazepines and benzodiazepine derivatives,D001569,DrugBank
Benzodiazepinones,D001570,DrugBank
GABA Modulators,D018757,DrugBank
Hypnotics and Sedatives,D006993,DrugBank
Psycholeptics,,DrugBank
Adrenergic Antagonists,D018674,DrugBank
Adrenergic beta-1 Receptor Antagonists,D058671,DrugBank
Adrenergic beta-Antagonists,D000319,DrugBank
Antiarrhythmic agents,D000889,DrugBank
"Beta Blocking Agents, Selective",,DrugBank
Beta-Blockers (Beta1 Selective),,DrugBank
Propanols,D020005,DrugBank
Acids,D000143,DrugBank
"Acids, Noncarboxylic",D000148,DrugBank
Boron Compounds,D001896,DrugBank
Boronic Acids,D001897,DrugBank
Cytochrome P-450 CYP1A2 Inhibitors (moderate),,DrugBank
Cytochrome P-450 CYP1A2 Substrates with a Narrow Therapeutic Index,,DrugBank
Cytochrome P-450 CYP2C19 Substrates with a Narrow Therapeutic Index,,DrugBank
Cytochrome P-450 CYP2C9 Substrates with a Narrow Therapeutic Index,,DrugBank
Cytochrome P-450 CYP2D6 Substrates with a Narrow Therapeutic Index,,DrugBank
Proteasome Inhibitors,D061988,DrugBank
Pyrazines,D011719,DrugBank
Chlorohydrins,D002728,DrugBank
Anti-Parkinson Drugs,D000978,DrugBank
Aromatic Amino Acid Decarboxylase Inhibitors,D065105,DrugBank
Aromatic L-amino Acid Decarboxylase Inhibitors,,DrugBank
Catecholamines,D002395,DrugBank
Hydrazines,D006834,DrugBank
Anti-Obesity Agents,D019440,DrugBank
"Antiobesity Preparations, Excl. Diet Products",,DrugBank
Appetite Depressants,D001067,DrugBank
Appetite Suppression,,DrugBank
Centrally Acting Antiobesity Products,,DrugBank
Cytochrome P-450 CYP3A4 Substrates (strength unknown),,DrugBank
Increased Sympathetic Activity,,DrugBank
Sympathomimetic Amine Anorectic,,DrugBank
Anticholinergic Agents,D018680,DrugBank
Combined Inhibitors of Serotonin/Norepinephrine Reuptake,,DrugBank
Cyclohexanes,D003510,DrugBank
Cyclohexanols,D003511,DrugBank
Cycloparaffins,D003516,DrugBank
Dimethylamines,D004123,DrugBank
Muscarinic Antagonists,D018727,DrugBank
Narcotics,D009294,DrugBank
NMDA Receptor Antagonists,,DrugBank
Opiate Agonists,,DrugBank
Opioid Agonist,,DrugBank
Opioids,D000701,DrugBank
Serotonin 5-HT2 Receptor Antagonists,D058830,DrugBank
Serotonin 5-HT2C Receptor Antagonists,D058830,DrugBank
Serotonin Receptor Antagonists,D012702,DrugBank
UGT1A1 Substrates,,DrugBank
Antiglaucoma Preparations and Miotics,,DrugBank
Beta-adrenergic Agents,,DrugBank
Phenoxypropanolamines,D050198,DrugBank
Propanolamines,D011412,DrugBank
Sympatholytics,D013565,DrugBank
14-alpha Demethylase Inhibitors,D058888,DrugBank
Antifungal Agents,D000935,DrugBank
Antifungals for Dermatological Use,,DrugBank
Antifungals for Topical Use,,DrugBank
Antimycotics for Systemic Use,,DrugBank
Azole Antifungals,,DrugBank
Cytochrome P-450 CYP2C9 Inhibitors (strong),,DrugBank
Cytochrome P-450 CYP3A5 Inhibitors (weak),,DrugBank
Hormone Antagonists,D006727,DrugBank
Imidazole and Triazole Derivatives,,DrugBank
Steroid Synthesis Inhibitors,D065088,DrugBank
Triazole and tetrazole derivatives,,DrugBank
Triazole Derivatives,,DrugBank
Triazoles,D014230,DrugBank
Chromans,D002839,DrugBank
Cytochrome P-450 CYP2B6 Inducers,D065695,DrugBank
Cytochrome P-450 CYP2B6 Inducers (strength unknown),,DrugBank
Cytochrome P-450 CYP2C8 Inhibitors (moderate),,DrugBank
Oral Hypoglycemics,,DrugBank
Thiazolidinediones,D045162,DrugBank
UGT1A3 substrates,,DrugBank
UGT1A4 substrates,,DrugBank
UGT1A6 Inhibitors,,DrugBank
UGT1A6 substrate,,DrugBank
UGT1A9 Substrates,,DrugBank
UGT2B7 substrates,,DrugBank
Acetamides,D000081,DrugBank
Amides,D000577,DrugBank
Antivirals for Systemic Use,,DrugBank
Direct Acting Antivirals,,DrugBank
Neuraminidase Inhibitors,,DrugBank
Anti-Acne Preparations,,DrugBank
Anti-Acne Preparations for Topical Use,,DrugBank
Antiinfectives for Treatment of Acne,,DrugBank
Cytochrome P-450 CYP3A5 Inhibitors (moderate),,DrugBank
Cytochrome P-450 CYP3A7 Substrates,,DrugBank
Erythromycin and similars,D004917,DrugBank
Erythromycins,,DrugBank
Lactones,D007783,DrugBank
Macrolide Antimicrobial,,DrugBank
Macrolides,D018942,DrugBank
"Macrolides, Lincosamides and Streptogramins",,DrugBank
Protein Synthesis Inhibitors,D011500,DrugBank
Nutritional Support,D018529,DrugBank
Anorexigenic Agents & Respiratory and CNS Stimulants,,DrugBank
Caffeine and Caffeine Containing Products,,DrugBank
Phosphodiesterase Inhibitors,D010726,DrugBank
Purinergic Agents,D058905,DrugBank
Purinergic Antagonists,D058914,DrugBank
Purinones,D011688,DrugBank
Respiratory and CNS Stimulants,,DrugBank
Tests for Gastric Secretion,,DrugBank
Tricarboxylic Acids,D014233,DrugBank
Xanthine derivatives,D013806,DrugBank
Ammonium Compounds,D064751,DrugBank
Choline Derivatives,,DrugBank
Cholinesterase substrates,,DrugBank
Neuromuscular Depolarizing Agents,D009467,DrugBank
Neuromuscular Depolarizing Blockade,,DrugBank
Nitrogen Compounds,D017672,DrugBank
Cytochrome P-450 CYP2C9 Inhibitors (weak),,DrugBank
Drugs Used in Erectile Dysfunction,,DrugBank
Genitourinary Agents,D000089162,DrugBank
Phosphodiesterase 5 Inhibitors,D058986,DrugBank
Piperazines,D010879,DrugBank
Sulfonamides,D013449,DrugBank
Sulfones,D013450,DrugBank
Urological Agents,D064804,DrugBank
Urologicals,,DrugBank
Vasodilating Agents,D014665,DrugBank
"Antiarrhythmics, Class III",,DrugBank
Cardiac Therapy,,DrugBank
Ethylamines,D005021,DrugBank
Highest Risk QTc-Prolonging Agents,,DrugBank
OCT2 Substrates with a Narrow Therapeutic Index,,DrugBank
Potassium Channel Blockers,D026902,DrugBank
Antibiotics for Pneumocystis Pneumonia,,DrugBank
Antimalarial diaminopyrimidines,,DrugBank
Antimalarials,D000962,DrugBank
Antiparasitic Agents,D000977,DrugBank
"Antiparasitic Products, Insecticides and Repellents",,DrugBank
Antiprotozoals,D000981,DrugBank
Cytochrome P-450 CYP2C8 Inhibitors (weak),,DrugBank
Folic Acid Antagonists,D005493,DrugBank
MATE 1 Inhibitors,,DrugBank
MATE 2 Inhibitors,,DrugBank
MATE inhibitors,,DrugBank
Adrenergic Uptake Inhibitors,D018759,DrugBank
"Antiadrenergic Agents, Centrally Acting",,DrugBank
Antipsychotic Agents,D014150,DrugBank
Catecholamine-depleting Sympatholytic,,DrugBank
Cytochrome P-450 CYP3A5 Inducers,D065701,DrugBank
Cytochrome P-450 CYP3A5 Inducers (strength unknown),,DrugBank
Decreased Sympathetic Activity,,DrugBank
Indole Alkaloids,D026121,DrugBank
Indoles,D007211,DrugBank
Indolizidines,D054836,DrugBank
Indolizines,D007212,DrugBank
Organic Anion Transporting Polypeptide 2B1 Inhibitors,,DrugBank
P-glycoprotein inducers,,DrugBank
Secologanin Tryptamine Alkaloids,D046948,DrugBank
Polyketides,D061065,DrugBank
Cytochrome P-450 CYP2B6 Inhibitors (moderate),,DrugBank
Cytochrome P-450 CYP2B6 Inhibitors (strong),,DrugBank
Cytochrome P-450 CYP2C19 Inhibitors (moderate),,DrugBank
Purinergic P2 Receptor Antagonists,D058919,DrugBank
Purinergic P2Y Receptor Antagonists,D058921,DrugBank
Thienopyridines,D058924,DrugBank
"Acids, Carbocyclic",D000146,DrugBank
Aza Compounds,D001372,DrugBank
Azabicyclo Compounds,D053961,DrugBank
Diphenylacetic Acids,D004158,DrugBank
Drugs for Functional Gastrointestinal Disorders,,DrugBank
Drugs for Urinary Frequency and Incontinence,,DrugBank
Parasympatholytics,D010276,DrugBank
Phenylacetates,D010648,DrugBank
Tropanes,D014326,DrugBank
Adrenergic Agonists,D000322,DrugBank
Adrenergic alpha-1 Receptor Agonists,D058646,DrugBank
Adrenergic alpha-Agonists,D000316,DrugBank
Adrenergic and Dopaminergic Agents,,DrugBank
Cardiac Stimulants Excl. Cardiac Glycosides,,DrugBank
Renin Inhibitors,D000092502,DrugBank
2-Pyridinylmethylsulfinylbenzimidazoles,D053799,DrugBank
Acid Reducers,,DrugBank
Anti-Ulcer Agents,D000897,DrugBank
Benzimidazoles,D001562,DrugBank
Drugs for Acid Related Disorders,,DrugBank
Drugs for Peptic Ulcer and Gastro-Oesophageal Reflux Disease (Gord),,DrugBank
Gastric Acid Lowering Agents,,DrugBank
Proton Pump Inhibitors,D054328,DrugBank
Proton-pump Inhibitors,,DrugBank
Sulfoxides,D013454,DrugBank
Diuretics,D004232,DrugBank
High-Ceiling Diuretics,,DrugBank
Increased Diuresis at Loop of Henle,,DrugBank
Non Potassium Sparing Diuretics,,DrugBank
Ototoxic agents,,DrugBank
Sodium Potassium Chloride Symporter Inhibitors,D049994,DrugBank
Benzofurans,D001572,DrugBank
Cytochrome P-450 CYP1A2 Inhibitors (weak),,DrugBank
Cytochrome P-450 CYP3A4 Inhibitors (weak),,DrugBank
Monoamine Oxidase A Substrates,,DrugBank
Nitriles,D009570,DrugBank
Propylamines,D011437,DrugBank
Antimigraine Preparations,,DrugBank
Cytochrome P-450 CYP2A6 Inducers,,DrugBank
Selective Serotonin 5-HT1 Receptor Agonists,,DrugBank
Selective Serotonin Agonists,,DrugBank
Serotonin 1b Receptor Agonists,,DrugBank
Serotonin 1d Receptor Agonists,,DrugBank
Serotonin 5-HT1 Receptor Agonists,D058825,DrugBank
Serotonin Receptor Agonists,D017366,DrugBank
Serotonin-1b and Serotonin-1d Receptor Agonist,,DrugBank
Triptans,D014363,DrugBank
Adrenergic alpha-2 Receptor Agonists,D058647,DrugBank
Amidines,D000578,DrugBank
"Antiadrenergic Agents, Peripherally Acting",,DrugBank
Guanidine Derivatives,,DrugBank
Guanidines,D006146,DrugBank
4-Quinolones,D042462,DrugBank
Fluoroquinolone Antibacterial,,DrugBank
Fluoroquinolones,D024841,DrugBank
Quinolines,D011804,DrugBank
Quinolone Antimicrobial,,DrugBank
Quinolones,D015363,DrugBank
Topoisomerase II Inhibitors,D059005,DrugBank
Topoisomerase Inhibitors,D059003,DrugBank
Mydriatics,D009184,DrugBank
"Synthetic Anticholinergics, Quaternary Ammonium Compounds",,DrugBank
Anti-Retroviral Agents,D044966,DrugBank
Cytochrome P-450 CYP2C19 Inducers,D065697,DrugBank
Cytochrome P-450 CYP2C19 Inducers (strength unknown),,DrugBank
Cytochrome P-450 CYP2C9 Inducers (strength unknown),,DrugBank
Cytochrome P-450 CYP3A4 Inhibitors (strong),,DrugBank
Cytochrome P-450 CYP3A5 Inhibitors (strong),,DrugBank
Cytochrome P-450 CYP3A7 Inhibitors (strong),,DrugBank
HIV Protease Inhibitors,D017320,DrugBank
Isoquinolines,D007546,DrugBank
UGT1A1 Inducers,,DrugBank
Viral Protease Inhibitors,D000084762,DrugBank
Adrenergic beta-2 Receptor Agonists,D058666,DrugBank
Adrenergic beta-Agonists,D000318,DrugBank
Adrenergics for Systemic Use,,DrugBank
"Adrenergics, Inhalants",,DrugBank
Bronchodilator Agents,D001993,DrugBank
Selective Beta 2-adrenergic Agonists,,DrugBank
Insulin Secretagogues,D000092005,DrugBank
Sulfonylureas,D013453,DrugBank
"Corticosteroids, Dermatological Preparations",,DrugBank
"Corticosteroids, Potent (Group III)",,DrugBank
Pregnadienetriols,D011246,DrugBank
Cytochrome P-450 CYP3A7 Inhibitors (weak),,DrugBank
Contrast Media,D003287,DrugBank
Coordination Complexes,D056831,DrugBank
Diagnostic Uses of Chemicals,D064907,DrugBank
"Injections, Intravenous",D007275,DrugBank
Magnetic Resonance Contrast Activity,,DrugBank
Magnetic Resonance Imaging Contrast Media,,DrugBank
Other Diagnostics,,DrugBank
Paramagnetic Contrast Agent,,DrugBank
Paramagnetic Contrast Media,,DrugBank
Anesthetics,D000777,DrugBank
"Anesthetics, General",D018681,DrugBank
"Anesthetics, Inhalation",D018685,DrugBank
Ethers,D004987,DrugBank
Methyl Ethers,D008738,DrugBank
beta-Lactams,D047090,DrugBank
Cephalosporins,D002511,DrugBank
Lactams,D007769,DrugBank
Second-Generation Cephalosporins,D000097909,DrugBank
Thiazines,D013843,DrugBank
Gabapentinoids,,DrugBank
Miscellaneous Anticonvulsants,,DrugBank
Benzothiadiazines,D001581,DrugBank
Increased Diuresis,,DrugBank
Sodium Chloride Symporter Inhibitors,D049993,DrugBank
Thiazides,D049971,DrugBank
Aminobenzoates,D062365,DrugBank
Aminosalicylic Acid and Derivatives,,DrugBank
Aminosalicylic Acids,D000636,DrugBank
Benzoates,D001565,DrugBank
Hydroxybenzoates,D062385,DrugBank
para-Aminobenzoates,D062366,DrugBank
Salicylates,D012459,DrugBank
Morpholines,D009025,DrugBank
Oxazines,D010078,DrugBank
Aminopyridines,D000631,DrugBank
Cardiotonic Agents,D002316,DrugBank
Phosphodiesterase 3 Inhibitors,D058987,DrugBank
Alkylating Drugs,D000477,DrugBank
"Antineoplastic Agents, Alkylating",D018906,DrugBank
Barbiturates,D001463,DrugBank
Nicotinic Antagonists,D018733,DrugBank
Pyrimidinones,D011744,DrugBank
Antivirals used in combination for the treatment of HIV infections,,DrugBank
Cytochrome P-450 CYP2B6 Inducers (strong),,DrugBank
Cytochrome P-450 CYP3A4 Inducers (weak),,DrugBank
Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,,DrugBank
Inducers of Drug Clearance,,DrugBank
Non-Nucleoside Reverse Transcriptase Inhibitors,,DrugBank
Nonnucleoside Reverse Transcriptase Inhibitors,,DrugBank
Nucleic Acid Synthesis Inhibitors,D019384,DrugBank
Reverse Transcriptase Inhibitors,D018894,DrugBank
Imidazole Derivatives,,DrugBank
"Corticosteroids, Moderately Potent (Group II)",,DrugBank
2-Chloroadenosine,D015762,DrugBank
Deoxyadenosines,D003839,DrugBank
Deoxyribonucleosides,D003853,DrugBank
Purine Analogues,,DrugBank
Purine Antimetabolite,,DrugBank
Antianginal Agents,,DrugBank
Miscellaneous Cardiac Drugs,,DrugBank
Sodium Channel Blockers,D026941,DrugBank
Aminosalicylate,,DrugBank
Intestinal Antiinflammatory Agents,,DrugBank
Ethers of Tropine or Tropine Derivatives,,DrugBank
Histamine Antagonists,D006633,DrugBank
Histamine H1 Antagonists,D006634,DrugBank
Histamine Receptor Antagonists,,DrugBank
Adrenergic alpha-1 Receptor Antagonists,D058668,DrugBank
Adrenergic alpha-Antagonists,D000317,DrugBank
Antipsychotic Agents (Second Generation [Atypical]),,DrugBank
Dopamine Antagonists,D018492,DrugBank
Dopamine D2 Receptor Antagonists,D065127,DrugBank
Indole Derivatives,,DrugBank
Serotonin 5-HT1 Receptor Antagonists,D058829,DrugBank
Serotonin 5-HT1D Receptor Antagonists,D058829,DrugBank
Serotonin 5-HT2A Receptor Antagonists,D058830,DrugBank
Ergolines,D004873,DrugBank
Ergot Alkaloids and Derivatives,D004876,DrugBank
Lysergic Acid,D008237,DrugBank
Dopamine Agonists,D018491,DrugBank
Ergot-derivative Dopamine Receptor Agonists,,DrugBank
Prolactine Inhibitors,,DrugBank
Serotonin 5-HT2 Receptor Agonists,D058826,DrugBank
Cytochrome P-450 CYP2C18 Substrates,,DrugBank
Drugs for Treatment of Lepra,,DrugBank
Leprostatic Agents,D007917,DrugBank
Miscellaneous Antimycobacterials,,DrugBank
Miscellaneous Local Anti-infectives,,DrugBank
Anti-epileptic Agent,,DrugBank
COMT Substrates,,DrugBank
Cytochrome P-450 CYP2A6 Substrates with a Narrow Therapeutic Index,,DrugBank
Cytochrome P-450 CYP2B6 Substrates with a Narrow Therapeutic Index,,DrugBank
Cytochrome P-450 CYP2C18 Substrates with a Narrow Therapeutic Index,,DrugBank
Cytochrome P-450 CYP2C19 Inducers (moderate),,DrugBank
Cytochrome P-450 CYP2C8 Inducers,D065696,DrugBank
Cytochrome P-450 CYP2C8 Inducers (strong),,DrugBank
Cytochrome P-450 CYP2C8 Substrates with a Narrow Therapeutic Index,,DrugBank
Cytochrome P-450 CYP2E1 Substrates with a Narrow Therapeutic Index,,DrugBank
Cytochrome P-450 CYP3A Inducers (strong),,DrugBank
Cytochrome P-450 CYP3A4 Inducers (strong),,DrugBank
Cytochrome P-450 CYP3A7 Inducers,D065701,DrugBank
Cytochrome P-450 CYP3A7 Inducers (weak),,DrugBank
Cytochrome P-450 CYP3A7 Substrates with a Narrow Therapeutic Index,,DrugBank
Decreased Central Nervous System Disorganized Electrical Activity,,DrugBank
Enzyme Inducing Antiepileptic Drugs,,DrugBank
Hydantoins,D006827,DrugBank
Imidazoles,D007093,DrugBank
Imidazolidines,D048289,DrugBank
Phenytoin and Prodrugs,,DrugBank
Thyroxine-binding globulin substrates,,DrugBank
UGT1A1 Substrates with a Narrow Therapeutic Index,,DrugBank
UGT1A6 Substrates with a Narrow Therapeutic Index,,DrugBank
UGT1A9 Inhibitors,,DrugBank
UGT1A9 Substrates with a Narrow Therapeutic Index,,DrugBank
Voltage-Gated Sodium Channel Blockers,D061567,DrugBank
Glucocorticoids,D005938,DrugBank
Pregnenes,D011283,DrugBank
Antiinfectives and Antiseptics for Local Oral Treatment,,DrugBank
Naphthacenes,D009279,DrugBank
Stomatological Preparations,,DrugBank
Tetracyclines,D013754,DrugBank
Benzylidene Compounds,D001597,DrugBank
Carcinogens,D002273,DrugBank
"Contraceptive Agents, Female",D003271,DrugBank
"Contraceptive Agents, Male",D003272,DrugBank
"Contraceptives, Postcoital",D003281,DrugBank
Cytochrome P-450 CYP2E1 Inhibitors (strong),,DrugBank
Estrogen Contraceptives,,DrugBank
Estrogens,D004967,DrugBank
"Estrogens, Non-Steroidal",D004968,DrugBank
Hormonal Contraceptives for Systemic Use,D003270,DrugBank
Stilbenes,D013267,DrugBank
Stilbestrols,D000081225,DrugBank
"Synthetic Estrogens, Plain",,DrugBank
Thyroxine-binding globulin inducers,,DrugBank
Antifungal Agents (Vaginal),,DrugBank
Cytochrome P-450 CYP2A6 Inhibitors (strong),,DrugBank
Cytochrome P-450 CYP2C8 Inhibitors (strong),,DrugBank
Cytochrome P-450 CYP2E1 Inhibitors (moderate),,DrugBank
Cytochrome P-450 CYP3A7 Inducers (strong),,DrugBank
OATP1B3 inducers,,DrugBank
Arylsulfonates,D001190,DrugBank
Arylsulfonic Acids,D017739,DrugBank
Calcium Salts,D002118,DrugBank
Chelating Agents,D002614,DrugBank
Drugs for Treatment of Hyperkalemia and Hyperphosphatemia,,DrugBank
"Fatty Acids, Volatile",D005232,DrugBank
Minerals,D008903,DrugBank
Phosphate Binder,,DrugBank
Phosphate-removing Agents,,DrugBank
Sequestering Agents,D064449,DrugBank
Sulfonic Acids,D013451,DrugBank
Sulfur Acids,D013456,DrugBank
Aniline Compounds,D000814,DrugBank
Benzenesulfonamides,D000096926,DrugBank
Short-Acting Antibacterial Sulfonamides,,DrugBank
Sulfanilamides,D013424,DrugBank
Sulfonamide Antibacterial,,DrugBank
Sulfonamides and trimethoprim,,DrugBank
"Amino Acids, Neutral",D021542,DrugBank
"Anti-Infective Agents, Urinary",D000892,DrugBank
"Antibiotics, Antitubercular",D000904,DrugBank
Isoxazoles,D007555,DrugBank
Oxazoles,D010080,DrugBank
Oxazolidinones,D023303,DrugBank
Decreased Platelet Production,,DrugBank
Platelet-reducing Agents,,DrugBank
Thrombocytosis,D013922,DrugBank
Alkylating Activity,,DrugBank
Nitroso Compounds,D009603,DrugBank
Nitrosourea Compounds,D009607,DrugBank
Nitrosoureas,,DrugBank
Beta blocking agents and calcium channel blockers,,DrugBank
Beta Blocking Agents and Thiazides,,DrugBank
"Beta Blocking Agents, Selective, and Thiazides",,DrugBank
4-Hydroxycoumarins,D015110,DrugBank
Coumarins,D003374,DrugBank
Uncoupling Agents,D014475,DrugBank
Vitamin K Antagonists,,DrugBank
Otologicals,,DrugBank
Third-Generation Cephalosporins,D000097911,DrugBank
Anti-Parkinson Agents (Dopamine Agonist),,DrugBank
Nonergot-derivative Dopamine Receptor Agonists,,DrugBank
"Natural and Semisynthetic Estrogens, Plain",,DrugBank
Calcium Channel Blockers,D002121,DrugBank
Calcium Channel Blockers (Dihydropyridine),,DrugBank
Dihydropyridine Derivatives,,DrugBank
Dihydropyridines,D004095,DrugBank
Selective Calcium Channel Blockers With Mainly Vascular Effects,,DrugBank
Amino Sugars,D000606,DrugBank
Hexosamines,D006595,DrugBank
Iodinated Contrast Agents,,DrugBank
Iodobenzoates,D007463,DrugBank
Radiographic Contrast Agent,,DrugBank
Roentgenography,D011859,DrugBank
Sugar Alcohols,D013402,DrugBank
Triiodobenzoic Acids,D014283,DrugBank
"Watersoluble, Nephrotropic, High Osmolar X-Ray Contrast Media",,DrugBank
X-Ray Contrast Activity,,DrugBank
"X-Ray Contrast Media, Iodinated",,DrugBank
Hexoses,D006601,DrugBank
Ketoses,D007661,DrugBank
Monosaccharides,D009005,DrugBank
Neuroprotective Agents,D018696,DrugBank
Cephamycins,D002513,DrugBank
Tetrazoles,D013777,DrugBank
Acridines,D000166,DrugBank
Aminoacridines,D000609,DrugBank
Intercalating Agents,D007364,DrugBank
Purinergic P1 Receptor Antagonists,D058915,DrugBank
Respiratory Smooth Muscle Relaxants,,DrugBank
Xanthines and Adrenergics,,DrugBank
"Amino Acids, Basic",D024361,DrugBank
Piperidines,D010880,DrugBank
l-Triiodothyronine,,DrugBank
Thyronines,D013970,DrugBank
Triiodothyronine,D014284,DrugBank
"Antiarrhythmics, Class I",,DrugBank
"Antiarrhythmics, Class Ia",,DrugBank
Negative Inotrope,,DrugBank
Agents for Treatment of Hemorrhoids and Anal Fissures for Topical Use,,DrugBank
Analgesics and Anesthetics,,DrugBank
Anesthetics for Topical Use,,DrugBank
"Anesthetics, Local",D000779,DrugBank
Anilides,D000813,DrugBank
"Antiarrhythmics, Class Ib",,DrugBank
Antipruritics and Local Anesthetics,,DrugBank
"Antipruritics, Incl. Antihistamines, Anesthetics, Etc.",,DrugBank
Local Anesthesia,D000772,DrugBank
Local Anesthetics (Amide),,DrugBank
Neuraxial Anesthetics,,DrugBank
Vasoprotectives,,DrugBank
Bisphosphonates,D004164,DrugBank
Organophosphonates,D063065,DrugBank
