umls_cui,name,meddra_type,source
C0159056,Abnormal chest sounds NOS,LLT,SIDER
C0162628,Viral skin infection,LLT,SIDER
C0206062,Interstitial lung disease,LLT,SIDER
C0221166,Paraparesis,LLT,SIDER
C0221201,Rash macular,LLT,SIDER
C0231807,Dyspnoea exertional,LLT,SIDER
C0231856,Breath sounds abnormal,LLT,SIDER
C0235025,Peripheral motor neuropathy,LLT,SIDER
C0235896,Lung infiltration,LLT,SIDER
C0241136,Pain of skin,LLT,SIDER
C0270790,Quadriparesis,LLT,SIDER
C0745091,Hypereosinophilia,LLT,SIDER
C0851536,Administration site reaction,LLT,SIDER
C0855652,Culture negative,LLT,SIDER
C0948978,Catheter site cellulitis,LLT,SIDER
C1096343,Infusion site reaction,LLT,SIDER
C1306577,Death,LLT,SIDER
C0004509,Azoospermia,LLT,SIDER
C0006846,Skin candida,LLT,SIDER
C0007193,Congestive cardiomyopathy,LLT,SIDER
C0008313,Cholangitis sclerosing,LLT,SIDER
C0010414,Cryptococcosis,LLT,SIDER
C0013687,Effusion,LLT,SIDER
C0015734,Faecalith,LLT,SIDER
C0018798,Heart malformation,LLT,SIDER
C0020295,Hydronephrosis,LLT,SIDER
C0020473,Hyperlipidaemia,LLT,SIDER
C0020639,Hypoproteinaemia,LLT,SIDER
C0022638,Ketosis,LLT,SIDER
C0023449,Acute lymphocytic leukaemia,LLT,SIDER
C0023467,Acute myeloid leukaemia,LLT,SIDER
C0023470,Myeloid leukaemia,LLT,SIDER
C0023532,Leukoplakia oral,LLT,SIDER
C0024225,Lymphangitis,LLT,SIDER
C0024236,Lymphoedema,LLT,SIDER
C0024894,Mastitis,LLT,SIDER
C0026640,Oral neoplasm,LLT,SIDER
C0026985,Myelodysplasia,LLT,SIDER
C0027059,Myocarditis,LLT,SIDER
C0028960,Oligospermia,LLT,SIDER
C0029560,Other conjunctivitis,LLT,SIDER
C0030824,Penicillin allergy,LLT,SIDER
C0031039,Pericardial effusion,LLT,SIDER
C0033246,Proctitis,LLT,SIDER
C0034530,Radiation injury,LLT,SIDER
C0035333,Retinitis,LLT,SIDER
C0036508,Seborrhoeic dermatitis,LLT,SIDER
C0036980,Cardiogenic shock,LLT,SIDER
C0037287,Skin nodule,LLT,SIDER
C0040558,Toxoplasmosis,LLT,SIDER
C0041972,Urethral obstruction,LLT,SIDER
C0085641,Rash pustular,LLT,SIDER
C0085661,Onycholysis,LLT,SIDER
C0085680,Hypochloraemia,LLT,SIDER
C0085681,Hyperphosphataemia,LLT,SIDER
C0085682,Hypophosphataemia,LLT,SIDER
C0085692,Cystitis haemorrhagic,LLT,SIDER
C0151594,Diarrhoea haemorrhagic,LLT,SIDER
C0151714,Hypermagnesaemia,LLT,SIDER
C0151723,Hypomagnesaemia,LLT,SIDER
C0151754,Lactic dehydrogenase activity increased,LLT,SIDER
C0151872,Prothrombin level increased,LLT,SIDER
C0151888,Hyporeflexia,LLT,SIDER
C0151904,Aspartate aminotransferase increased,LLT,SIDER
C0151951,Thromboplastin decreased,LLT,SIDER
C0162835,Leukoderma,LLT,SIDER
C0221016,Red blood cell disorders,,SIDER
C0221269,Pseudolymphoma,LLT,SIDER
C0221714,Injection site infection,LLT,SIDER
C0232200,Gallop rhythm,LLT,SIDER
C0232726,Rectal tenesmus,LLT,SIDER
C0235431,Blood creatinine increased,LLT,SIDER
C0235818,Bullous eruption,LLT,SIDER
C0239343,Acral erythema,LLT,SIDER
C0240972,Scrotal erythema,LLT,SIDER
C0242973,Ventricular dysfunction,LLT,SIDER
C0333494,Phlebosclerosis,LLT,SIDER
C0333516,Tumour necrosis,LLT,SIDER
C0341177,Gastric erosions,LLT,SIDER
C0342892,Hypolipidaemia,LLT,SIDER
C0392699,Dysaesthesia,LLT,SIDER
C0423773,Skin scaly,LLT,SIDER
C0428968,QRS voltage decreased,LLT,SIDER
C0741494,Bilirubin total increased,LLT,SIDER
C0743400,Ejection fraction decreased,LLT,SIDER
C0836924,Thrombocytosis,LLT,SIDER
C0852711,Hand and foot syndrome secondary to sickle cell anaemia,LLT,SIDER
C0854448,Bladder constriction,LLT,SIDER
C0856053,Leukemia secondary,LLT,SIDER
C0858678,Alopecia reversible,LLT,SIDER
C0859062,Serum bilirubin increased,LLT,SIDER
C0877153,Neutropenic sepsis,LLT,SIDER
C1142499,Gastrointestinal toxicity,LLT,SIDER
C1260926,Abnormal pigmentation,LLT,SIDER
C1519353,Rash papular,LLT,SIDER
C1535939,Pneumocystis jirovecii pneumonia,LLT,SIDER
C1720798,Radiation recall reaction (dermatologic),LLT,SIDER
C1861172,Venous thromboembolism,LLT,SIDER
C2364111,Ageusia,LLT,SIDER
C2937222,Proctitis ulcerative,LLT,SIDER
C2939419,Metastatic neoplasm,LLT,SIDER
C2939420,Metastatic disease,LLT,SIDER
C0011609,Drug eruption,LLT,SIDER
C0021051,Immunodeficiency,LLT,SIDER
C0494165,Metastases to liver,LLT,SIDER
C0025322,Premature menopause,LLT,SIDER
C0026766,Multi-organ failure,LLT,SIDER
C0235437,Gravitational oedema,LLT,SIDER
C0442886,Secondary infection,LLT,SIDER
C0549124,Embolism arterial,LLT,SIDER
C1096403,Left ventricular ejection fraction decreased,LLT,SIDER
C1739418,Acute cardiac toxicity,LLT,SIDER
C0575090,Balance disorder,LLT,SIDER
C0856120,Multiple sclerosis relapse,LLT,SIDER
C0004144,Atelectasis,LLT,SIDER
C0004239,Atrial flutter,LLT,SIDER
C0007785,Cerebral infarction,LLT,SIDER
C0011848,Diabetes insipidus,LLT,SIDER
C0013312,Dupuytren's contracture,LLT,SIDER
C0014038,Encephalitis,LLT,SIDER
C0017566,Gingival hyperplasia,LLT,SIDER
C0019193,Hepatitis toxic,LLT,SIDER
C0019829,Hodgkin's disease,LLT,SIDER
C0020507,Hyperplasia,LLT,SIDER
C0020555,Hypertrichosis,LLT,SIDER
C0024299,Lymphoma,LLT,SIDER
C0025007,Measles,LLT,SIDER
C0027932,Neurosis,LLT,SIDER
C0031036,Polyarteritis nodosa,LLT,SIDER
C0032290,Pneumonia aspiration,LLT,SIDER
C0034935,Extensor plantar response,LLT,SIDER
C0037822,Speech disorder,LLT,SIDER
C0038506,Stuttering,LLT,SIDER
C0085610,Sinus bradycardia,LLT,SIDER
C0151838,Circumoral paresthesia,LLT,SIDER
C0151882,Purpuric rash,LLT,SIDER
C0162557,Acute hepatic failure,LLT,SIDER
C0221161,Shallow breathing,LLT,SIDER
C0232766,Asterixis,LLT,SIDER
C0234369,Trembling,LLT,SIDER
C0234918,Rash morbilliform,LLT,SIDER
C0235567,Sputum increased,LLT,SIDER
C0270844,Tonic convulsion,LLT,SIDER
C0543698,Hypersensitive syndrome,LLT,SIDER
C0740425,Taste altered,LLT,SIDER
C1141936,Purple glove syndrome,LLT,SIDER
C0151579,Crystalluria,LLT,SIDER
C0151798,Hepatic necrosis,LLT,SIDER
C0342579,Electrolyte imbalance,LLT,SIDER
C0858775,Myopia transient,LLT,SIDER
C1306571,Hepatic insufficiency,LLT,SIDER
C0001126,Renal tubular acidosis,LLT,SIDER
C0002894,Refractory anaemia with an excess of blasts,LLT,SIDER
C0005716,Blastomycosis,LLT,SIDER
C0009760,Conjunctival haemorrhage,LLT,SIDER
C0015402,Eye haemorrhage,LLT,SIDER
C0019147,Coma hepatic,LLT,SIDER
C0029163,Mouth haemorrhage,LLT,SIDER
C0032781,Postnasal drip,LLT,SIDER
C0037284,Skin lesion,LLT,SIDER
C0085077,Acute febrile neutrophilic dermatosis,LLT,SIDER
C0085652,Pyoderma gangrenosum,LLT,SIDER
C0152965,Staphylococcal bacteraemia,LLT,SIDER
C0235496,Oral mucosal petechiae,LLT,SIDER
C0235632,Loin pain,LLT,SIDER
C0238844,Respiratory sounds decreased,LLT,SIDER
C0241075,Skin induration,LLT,SIDER
C0242966,Systemic inflammatory response syndrome,LLT,SIDER
C0265031,Haemorrhoidal haemorrhage,LLT,SIDER
C0267566,Perirectal abscess,LLT,SIDER
C0274435,Transfusion reaction,LLT,SIDER
C0280028,Refractory anemia with excess blasts in transformation,LLT,SIDER
C0333243,Pitting edema,LLT,SIDER
C0519030,Pneumonia klebsiella,LLT,SIDER
C0521499,Injection site pigmentation changes,LLT,SIDER
C0521509,Injection site induration,LLT,SIDER
C0549335,Bone pain aggravated,LLT,SIDER
C0549445,Anaemia NOS aggravated,LLT,SIDER
C0578455,Abscess limb,LLT,SIDER
C0745528,Klebsiella sepsis,LLT,SIDER
C0853326,Dyspnoea exacerbated,LLT,SIDER
C0856136,Fatigue aggravated,LLT,SIDER
C0877211,General physical health deterioration,LLT,SIDER
C0920166,Catheter site haemorrhage,LLT,SIDER
C0948815,Catheter site erythema,LLT,SIDER
C0948976,Leukaemia cutis,LLT,SIDER
C2609445,Infusion site reactions,,SIDER
C0003892,Neuropathic arthropathy,LLT,SIDER
C0009241,Cognitive disorder,LLT,SIDER
C0015300,Exophthalmos,LLT,SIDER
C0018813,Myocardial rupture,LLT,SIDER
C0023801,Lipomatosis,LLT,SIDER
C0024528,Malaise and fatigue,LLT,SIDER
C0029445,Osteonecrosis,LLT,SIDER
C0030922,Peptic ulcer haemorrhage,LLT,SIDER
C0036341,Schizophrenia,LLT,SIDER
C0085570,Alkalosis hypokalaemic,LLT,SIDER
C0085660,Aseptic necrosis,LLT,SIDER
C0151514,Skin atrophy,LLT,SIDER
C0151937,Tendon rupture,LLT,SIDER
C0152459,Skin striae,LLT,SIDER
C0232841,Bladder dysfunction,LLT,SIDER
C0233514,Abnormal behaviour,LLT,SIDER
C0235259,Cataract subcapsular,LLT,SIDER
C0235325,Gastric haemorrhage,LLT,SIDER
C0235409,Increased insulin requirement,LLT,SIDER
C0235453,Steroid withdrawal syndrome,LLT,SIDER
C0240417,Muscle mass,LLT,SIDER
C0242339,Dyslipidaemia,LLT,SIDER
C0262431,Spinal compression fracture,LLT,SIDER
C0270994,Steroid myopathy,LLT,SIDER
C0278079,Dependence psychological,LLT,SIDER
C0333641,Atrophy,LLT,SIDER
C0525045,Affective disorder,LLT,SIDER
C0559031,Functional gastrointestinal disorder,LLT,SIDER
C0730328,Central serous retinopathy,LLT,SIDER
C0853761,Blood potassium decreased,LLT,SIDER
C0854100,Nitrogen balance negative,LLT,SIDER
C0919643,Urine calcium increased,LLT,SIDER
C1960509,Epidural lipomatosis,LLT,SIDER
C0151662,Gamma-glutamyltransferase increased,LLT,SIDER
C0236993,Other sleep disturbances,LLT,SIDER
C0795692,Hyperlactacidaemia,LLT,SIDER
C0001849,AIDS dementia complex,LLT,SIDER
C0004364,Autoimmune disorder,LLT,SIDER
C0011581,Depressive disorder,LLT,SIDER
C0019163,Hepatitis B,LLT,SIDER
C0021655,Insulin resistance,LLT,SIDER
C0023787,Lipodystrophy,LLT,SIDER
C0034902,Aplasia pure red cell,LLT,SIDER
C0037089,Gastrointestinal signs and symptoms,,SIDER
C0221773,Hyperamylasaemia,LLT,SIDER
C0520573,Buffalo hump,LLT,SIDER
C0856151,Fat redistribution,LLT,SIDER
C2711227,Hepatic steatosis,LLT,SIDER
C0007166,Cardiac output decreased,LLT,SIDER
C0007398,Catatonia,LLT,SIDER
C0021775,Intermittent claudication,LLT,SIDER
C0022281,Eye pruritus,LLT,SIDER
C0151942,Arterial thrombosis,LLT,SIDER
C0162529,Colitis ischaemic,LLT,SIDER
C0259817,Xerosis,LLT,SIDER
C0344320,Vivid dreams,LLT,SIDER
C0701811,Short-term memory loss,LLT,SIDER
C1456822,Claudication,LLT,SIDER
C3665609,Conjunctival xerosis,LLT,SIDER
C0001339,Pancreatitis acute,LLT,SIDER
C0005694,Bladder neck obstruction,LLT,SIDER
C0022672,Nephrosis lower nephron,LLT,SIDER
C0032788,Postoperative hemorrhage,LLT,SIDER
C0041105,Trismus,LLT,SIDER
C0151205,Periorbital oedema,LLT,SIDER
C0152032,Urinary hesitation,LLT,SIDER
C0154946,Acute angle-closure glaucoma,LLT,SIDER
C0235853,Pemphigoid reaction,LLT,SIDER
C0239981,Hypoalbuminaemia,LLT,SIDER
C0241705,Strangury,LLT,SIDER
C0302809,Hepatitis fulminant,LLT,SIDER
C0427108,Unsteadiness,LLT,SIDER
C0549493,Alveolitis,LLT,SIDER
C0585186,Cutaneous hypersensitivity,LLT,SIDER
C0699828,Serotonin syndrome,LLT,SIDER
C0856054,Mental status changes,LLT,SIDER
C0877055,Acute generalised exanthematous pustulosis,LLT,SIDER
C0877398,Anaemia postoperative,LLT,SIDER
C0919823,Cytolytic hepatitis,LLT,SIDER
C1096035,Infusion site pain,LLT,SIDER
C1739363,Prostatic hypertrophy,LLT,SIDER
C2609176,Kounis syndrome,LLT,SIDER
C0085602,Polydipsia,LLT,SIDER
C0151686,Growth retardation,LLT,SIDER
C1504494,Tingling of extremity,LLT,SIDER
C0232910,Teratogenicity,LLT,SIDER
C1455782,Vagotonia,LLT,SIDER
C0007177,Cardiac tamponade,LLT,SIDER
C0020523,Type I hypersensitivity,LLT,SIDER
C0030593,Pars planitis,LLT,SIDER
C0085650,Purpura fulminans,LLT,SIDER
C0235030,Neurologic reaction,LLT,SIDER
C0235573,Haemoglobinaemia,LLT,SIDER
C0424489,Chapped lips,LLT,SIDER
C0438142,Urine analysis abnormal,LLT,SIDER
C0542149,Injection site phlebitis,LLT,SIDER
C0740399,Auditory and visual hallucinations,LLT,SIDER
C0856677,Accelerated hair loss,LLT,SIDER
C1096543,Superficial punctate keratopathy,LLT,SIDER
C1510431,Thrombophlebitis superficial,LLT,SIDER
C2973529,Leukocytoclastic vasculitis,LLT,SIDER
C3665444,Neutrophilia,LLT,SIDER
C0032914,Pre-eclampsia,LLT,SIDER
C0032989,Multiple pregnancy,LLT,SIDER
C0040584,Tracheitis,LLT,SIDER
C0085128,Cardiac output increased,LLT,SIDER
C0151596,Tongue discolouration,LLT,SIDER
C0221490,Epigastric distress,LLT,SIDER
C0232197,Cardiac fibrillation,LLT,SIDER
C0234373,Tremor fine,LLT,SIDER
C0235082,Tremor muscle,LLT,SIDER
C0235108,Feeling tense,LLT,SIDER
C0235746,Saliva altered,LLT,SIDER
C0235906,Bronchospasm aggravated,LLT,SIDER
C0236072,Bronchospasm paradoxical,LLT,SIDER
C0239842,Tremor of hands,LLT,SIDER
C0410918,Tachycardia foetal,LLT,SIDER
C0700361,Emotional distress,LLT,SIDER
C0853908,Oropharyngeal swelling,LLT,SIDER
C0863093,Cold symptoms,LLT,SIDER
C1145628,Unspecified disorder of autonomic nervous system,LLT,SIDER
C1258192,Vascular resistance systemic,LLT,SIDER
C0855329,Electrocardiogram change,LLT,SIDER
C0001349,Acute phase reaction,LLT,SIDER
C0013295,Duodenal ulcer,LLT,SIDER
C0014583,Episcleritis,LLT,SIDER
C0014852,Oesophageal disorder,LLT,SIDER
C0014866,Oesophageal stenosis,LLT,SIDER
C0015802,Femur fracture,LLT,SIDER
C0020438,Hypercalciuria,LLT,SIDER
C0026636,Oral disorder,LLT,SIDER
C0029434,Osteogenesis imperfecta,LLT,SIDER
C0029443,Osteomyelitis,LLT,SIDER
C0162386,Femur fracture subtrochanteric,LLT,SIDER
C0272753,Femur shaft fracture,LLT,SIDER
C0341117,Esophageal erosions,LLT,SIDER
C0392525,Nephrolithiasis,LLT,SIDER
C0743575,Oesophageal irritation,LLT,SIDER
C1442968,Anastomotic ulcer,LLT,SIDER
C2711248,Osteonecrosis of jaw,LLT,SIDER
C3495947,Atypical stress fracture,LLT,SIDER
C0013608,Oedema due to cardiac disease,LLT,SIDER
C0026205,Miosis,LLT,SIDER
C0277885,Blood pressure systolic decreased,LLT,SIDER
C0277890,Blood pressure diastolic decreased,LLT,SIDER
C0549346,Ischial neuralgia,LLT,SIDER
C0549356,Inflicted injury,LLT,SIDER
C0549374,Lumbar disc lesion,LLT,SIDER
C0860204,Cholestatic liver disease,LLT,SIDER
C1688637,Intraoperative floppy iris syndrome,LLT,SIDER
C2242582,Cholestatic liver injury,LLT,SIDER
C0005699,Blast cell crisis,LLT,SIDER
C0020981,Angioimmunoblastic T-cell lymphoma,LLT,SIDER
C0021364,Infertility male,LLT,SIDER
C0022081,Iritis,LLT,SIDER
C0023895,Liver disorder,LLT,SIDER
C0024282,Lymphocytosis,LLT,SIDER
C0038220,Status epilepticus,LLT,SIDER
C0038238,Steatorrhoea,LLT,SIDER
C0043049,Water intoxication,LLT,SIDER
C0085684,Footdrop,LLT,SIDER
C0151436,Allergic cutaneous angiitis,LLT,SIDER
C0151613,Electrolyte abnormality,LLT,SIDER
C0206160,Reticulocytosis,LLT,SIDER
C0232807,Function kidney decreased,LLT,SIDER
C0233931,Nocturnal emission,LLT,SIDER
C0234533,Convulsions generalised,LLT,SIDER
C0240925,Salivary gland swelling,LLT,SIDER
C0243065,Aplasia,LLT,SIDER
C0267940,Pancreatitis haemorrhagic,LLT,SIDER
C0476486,Generalized lymphadenopathy,LLT,SIDER
C0521464,Skin oedema,LLT,SIDER
C0553548,Angiitis necrotising,LLT,SIDER
C0856069,Vasculitis gastrointestinal,LLT,SIDER
C2712871,Gout attack,LLT,SIDER
C0020635,Hypopituitarism,LLT,SIDER
C0021933,Intussusception,LLT,SIDER
C0221170,Muscle stiffness,LLT,SIDER
C0234192,Feeling cold,LLT,SIDER
C0235620,Haemorrhage urinary tract,LLT,SIDER
C0236124,Gastrointestinal obstruction,LLT,SIDER
C0266813,Faecal occult blood positive,LLT,SIDER
C0267166,Gastroduodenitis,LLT,SIDER
C0281825,Dysequilibrium,LLT,SIDER
C0522245,Feeling hot and cold,LLT,SIDER
C0851976,Dyspeptic signs and symptoms,,SIDER
C0863090,Allergic skin reaction,LLT,SIDER
C0920157,Mesenteric ischemia,LLT,SIDER
C0947964,Reproductive system haemorrhages,,SIDER
C1142335,Bilirubin abnormal,LLT,SIDER
C1260922,Respiration abnormal,LLT,SIDER
C1264613,Gastrointestinal infection,LLT,SIDER
C2607914,Rhinitis allergic,LLT,SIDER
C0015726,Fear,LLT,SIDER
C0020514,Hyperprolactinaemia,LLT,SIDER
C0026838,Muscle spasticity,LLT,SIDER
C0030319,Panic disorder,LLT,SIDER
C0037315,Sleep apnoea syndrome,LLT,SIDER
C0221100,Hangover,LLT,SIDER
C0221706,Road traffic accident,LLT,SIDER
C0233796,Amnesia transient,LLT,SIDER
C0233844,Clumsiness,LLT,SIDER
C0235097,Withdrawal seizures,LLT,SIDER
C0235295,Abdominal distress,LLT,SIDER
C0392702,Abnormal involuntary movements,LLT,SIDER
C0424230,Psychomotor retardation,LLT,SIDER
C0424296,Disinhibition,LLT,SIDER
C0455204,Homicidal ideation,LLT,SIDER
C0522042,Loss of control of legs,LLT,SIDER
C0522165,Feeling of relaxation,LLT,SIDER
C0522172,Feeling drunk,LLT,SIDER
C0542313,Sleep talking,LLT,SIDER
C0546947,Choking sensation,LLT,SIDER
C0740858,Substance abuse,LLT,SIDER
C0859023,Talkativeness,LLT,SIDER
C0920289,Sluggishness,LLT,SIDER
C1269683,Major depression,LLT,SIDER
C1306341,Mental disability,LLT,SIDER
C3248383,Logorrhoea,LLT,SIDER
C0027849,Neuroleptic malignant syndrome,LLT,SIDER
C0030662,Pathological gambling,LLT,SIDER
C0085637,Oculogyric crisis,LLT,SIDER
C0085642,Livedo reticularis,LLT,SIDER
C0233479,Elevated mood,LLT,SIDER
C0259799,Punctate keratitis,LLT,SIDER
C0262576,Nerve paralysis,LLT,SIDER
C0264490,Acute respiratory failure,LLT,SIDER
C0312420,Hypersexuality,LLT,SIDER
C0854212,Subepithelial opacities,LLT,SIDER
C0026113,Miliaria,LLT,SIDER
C0034212,Pyoderma,LLT,SIDER
C0039446,Telangiectasia,LLT,SIDER
C0175167,Acneiform eruption,LLT,SIDER
C0241157,Pustule,LLT,SIDER
C0263449,Dermatitis perioral,LLT,SIDER
C0271738,Secondary adrenocortical insufficiency,LLT,SIDER
C0024530,Malaria,LLT,SIDER
C0026976,Myelitis transverse,LLT,SIDER
C0151705,Retroperitoneal haemorrhage,LLT,SIDER
C0232808,Shutdown renal,LLT,SIDER
C0233715,Speech impairment NOS,LLT,SIDER
C0271240,Blindness unilateral,LLT,SIDER
C0271298,Chemosis,LLT,SIDER
C0743323,Acute dyspnea,LLT,SIDER
C0853800,Contrast media reaction,LLT,SIDER
C0857353,Hypotensive,LLT,SIDER
C1328539,Reflex tachycardia,LLT,SIDER
C0020626,Hypoparathyroidism,LLT,SIDER
C0521465,Toxic skin eruption,LLT,SIDER
C0595882,Serum calcium decreased,LLT,SIDER
C3665346,Unspecified visual loss,LLT,SIDER
C0001623,Adrenal insufficiency,LLT,SIDER
C0002390,Alveolitis allergic,LLT,SIDER
C0034013,Precocious puberty,LLT,SIDER
C0042380,Vascular resistance,LLT,SIDER
C0042755,Virilism,LLT,SIDER
C0744727,Haematocrit decreased,LLT,SIDER
C0152165,Persistent vomiting,LLT,SIDER
C0221158,Multifocal atrial tachycardia,LLT,SIDER
C0270611,Brain injury,LLT,SIDER
C0948268,Haemodynamic instability,LLT,SIDER
C1140716,Hypoxic-ischaemic encephalopathy,LLT,SIDER
C1963951,Acute overdose,LLT,SIDER
C0006272,Obliterative bronchiolitis,LLT,SIDER
C0007114,Skin cancer,LLT,SIDER
C0007758,Cerebellar ataxia,LLT,SIDER
C0014534,Epididymitis,LLT,SIDER
C0018188,Granuloma,LLT,SIDER
C0019187,Hepatitis alcoholic,LLT,SIDER
C0022581,Acquired keratoderma,LLT,SIDER
C0022661,Renal failure chronic,LLT,SIDER
C0023211,Bundle branch block left,LLT,SIDER
C0024437,Macular degeneration,LLT,SIDER
C0027868,Neuromyopathy,LLT,SIDER
C0029132,Optic nerve disorder,LLT,SIDER
C0030591,Paroxysmal ventricular tachycardia,LLT,SIDER
C0032231,Pleurisy,LLT,SIDER
C0040137,Thyroid nodule,LLT,SIDER
C0085786,Hamman-Rich syndrome,LLT,SIDER
C0149881,Epididymo-orchitis,LLT,SIDER
C0149904,Hepatitis cholestatic,LLT,SIDER
C0151701,Pulmonary haemorrhage,LLT,SIDER
C0151859,Polyserositis,LLT,SIDER
C0151878,Electrocardiogram QT prolonged,LLT,SIDER
C0152081,Pustular psoriasis,LLT,SIDER
C0155118,Corneal degeneration,LLT,SIDER
C0159039,Spontaneous bruising,LLT,SIDER
C0162281,Corneal deposits,LLT,SIDER
C0231303,Distress,LLT,SIDER
C0234133,Extrapyramidal symptoms,LLT,SIDER
C0235270,Keratopathy,LLT,SIDER
C0238796,Bone marrow granuloma,LLT,SIDER
C0242770,Bronchiolitis obliterans with organizing pneumonia,LLT,SIDER
C0264383,Organising pneumonia,LLT,SIDER
C0264893,Nodal arrhythmia,LLT,SIDER
C0270922,Demyelinating polyneuropathy,LLT,SIDER
C0340861,Pulseless electrical activity,LLT,SIDER
C0341439,Chronic liver disease,LLT,SIDER
C0344432,Multifocal ventricular tachycardia,LLT,SIDER
C0348024,Dysfunction thyroid,LLT,SIDER
C0427086,Movements involuntary,LLT,SIDER
C0581386,Chronic anxiety,LLT,SIDER
C0586553,Thyrotropin high,LLT,SIDER
C0745754,Hepatic granuloma,LLT,SIDER
C0852879,Pulmonary alveolar haemorrhage,LLT,SIDER
C0857576,Thyroid function abnormal,LLT,SIDER
C0861171,Gritty feeling in eyes,LLT,SIDER
C0948595,Ocular discomfort,LLT,SIDER
C1112256,Peripheral sensorimotor neuropathy,LLT,SIDER
C1442835,Solar dermatitis,LLT,SIDER
C1510497,Lenticular opacities,LLT,SIDER
C1527407,Eosinophilic pneumonia,LLT,SIDER
C2363809,Incessant ventricular tachycardia,LLT,SIDER
C3665347,Visual impairment,LLT,SIDER
C0007682,Central nervous system disorder,LLT,SIDER
C0011071,Sudden death,LLT,SIDER
C0152128,Drug withdrawal syndrome,LLT,SIDER
C1457883,Aggressive reaction,LLT,SIDER
C1735368,Acute dystonia,LLT,SIDER
C0030446,Ileus paralytic,LLT,SIDER
C0151480,Antinuclear antibody positive,LLT,SIDER
C0152198,Accommodation disorder,LLT,SIDER
C0235293,Taste peculiar,LLT,SIDER
C0235347,Black hairy tongue,LLT,SIDER
C0264886,Conduction disorder,LLT,SIDER
C0392676,Hyperpyrexia,LLT,SIDER
C0424823,Parotid swelling,LLT,SIDER
C0855333,Electrocardiogram QT corrected interval prolonged,LLT,SIDER
C0024117,Chronic obstructive pulmonary disease,LLT,SIDER
C0043349,Xerophthalmia,LLT,SIDER
C0234987,Dizziness postural,LLT,SIDER
C0235848,Skin cold clammy,LLT,SIDER
C3203358,Hypoventilation,LLT,SIDER
C0221345,Nail discolouration,LLT,SIDER
C0546956,Onychoclasis,LLT,SIDER
C0001416,Adenitis,LLT,SIDER
C0085611,Atrial arrhythmia,LLT,SIDER
C0426584,Appetite exaggerated,LLT,SIDER
C0006848,Mucocutaneous candidiasis,LLT,SIDER
C0038826,Superinfection,LLT,SIDER
C0040434,Tooth discolouration,LLT,SIDER
C0085819,Antibiotic associated colitis,LLT,SIDER
C0151565,Hemorrhagic colitis,LLT,SIDER
C0577115,Soft stools,LLT,SIDER
C0751494,Convulsive seizure,LLT,SIDER
C1257843,Pseudomembranous colitis,LLT,SIDER
C1736172,Acute cytolytic hepatitis,LLT,SIDER
C0740651,Abdominal symptom,LLT,SIDER
C2939103,Perioral paraesthesia,LLT,SIDER
C0522153,Urine color abnormal,LLT,SIDER
C0020542,Pulmonary hypertension,LLT,SIDER
C0023473,Chronic myeloid leukaemia,LLT,SIDER
C0032463,Polycythaemia vera,LLT,SIDER
C0040028,Essential thrombocythaemia,LLT,SIDER
C0041349,Tubulointerstitial nephritis,LLT,SIDER
C0857361,Headache occurring,LLT,SIDER
C0019557,Hip fracture,LLT,SIDER
C0034152,Henoch-Schonlein purpura,LLT,SIDER
C0151547,Cataract specified,LLT,SIDER
C0154251,Lipid metabolism disorder,LLT,SIDER
C0158328,Trigger finger,LLT,SIDER
C0241633,Vaginal dryness,LLT,SIDER
C0521170,Osteoporotic fracture,LLT,SIDER
C0522067,Hepatic pain,LLT,SIDER
C0549399,Low density lipoprotein increased,LLT,SIDER
C0595929,Cholesterol serum elevated,LLT,SIDER
C0853891,Tumour flare,LLT,SIDER
C0857496,Thromboembolic event,LLT,SIDER
C0877035,Oestrogenic effect,LLT,SIDER
C1522133,High cholesterol,LLT,SIDER
C1527411,Retinal vein thrombosis,LLT,SIDER
C0853008,Parkinson's disease aggravated,LLT,SIDER
C0005743,Blepharoconjunctivitis,LLT,SIDER
C0005745,Eyelid ptosis,LLT,SIDER
C0005747,Blepharospasm,LLT,SIDER
C0015423,Eyelid disorder,LLT,SIDER
C0042420,Syncope vasovagal,LLT,SIDER
C0151601,Conjunctival oedema,LLT,SIDER
C0205204,Scab,LLT,SIDER
C0234665,Eyelid retraction,LLT,SIDER
C0239454,Erythema of eyelid,LLT,SIDER
C0392163,Corneal erosion,LLT,SIDER
C0423006,Eye discharge,LLT,SIDER
C0423232,Corneal staining,LLT,SIDER
C0743680,Eye oedema,LLT,SIDER
C0853336,Corneal infiltrates,LLT,SIDER
C0859253,Microhemorrhage,LLT,SIDER
C0860499,Conjunctival follicles,LLT,SIDER
C0920171,Foreign body sensation in eyes,LLT,SIDER
C0948294,Eyelid margin crusting,LLT,SIDER
C0948786,Blanching,LLT,SIDER
C0002965,Angina unstable,LLT,SIDER
C0035229,Respiratory insufficiency,LLT,SIDER
C0151661,Peripheral gangrene,LLT,SIDER
C0151814,Coronary artery occlusion,LLT,SIDER
C3160769,Major bleed,LLT,SIDER
C3160770,Minor bleed,LLT,SIDER
C0002064,Respiratory alkalosis,LLT,SIDER
C0008049,Varicella,LLT,SIDER
C0019087,Haemorrhagic disorder,LLT,SIDER
C0035400,Reye's syndrome,LLT,SIDER
C0235283,Ear buzzing,LLT,SIDER
C0268030,Acidemia,LLT,SIDER
